General information;;time (s);O2;CO2;CO;Pdiff;Light;Mass;Methane;AmbP;AmbH;HFM;TC stack;TC smoke;TC amb.;TC cone;T PK;Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;TEext1;TEext2;TEext3;TEext4;TEext5;TEext6;TEext7;TEext8;TEext9;TEext10;TEext11;TEext12;TEext13;TEext14;TEext15;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31;
Thickness (mm);11,68;22;20,94600;0,05200;-0,009000;125,000;100,00;11,2400;0,000;100,412;35,800;0,005;298,650;298,250;25,90;298,150;263,177;0,000;24,900;25,400;24,700;301,050;;;;;0,00;0,00;0,00;3,00;2,63;16,963;25,223;0,59;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;19,8503;0,00000;0,0000;0,00000000;0,00000000;-0,00018;Infinity;0,5340;28,142522;-0,000054;23,797197;23,765324;0,0000;-0,0102;0,00;0,04;0,00;0,00;1,31;;23,275;24,922;0,0220140;20,94700;0,05300;-0,00300;0,0002620;;22,49;22,00;;;
Surface area (cm²);11,09;23;20,94700;0,05200;0,011000;131,925;100,00;11,2400;0,000;100,412;35,800;0,005;298,650;298,350;25,90;298,150;263,177;0,000;24,900;25,400;24,700;301,050;;;;;0,00;0,00;0,00;3,00;2,63;16,949;25,239;0,59;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;20,1280;0,00000;0,0000;0,00000000;0,00000000;0,00134;Infinity;0,5541;28,911562;-0,000037;24,447494;24,422936;0,0000;-0,0072;0,00;0,04;0,00;0,00;1,63;;23,132;24,001;0,0223219;20,94600;0,05200;0,00300;0,0002591;;22,49;23,00;;;
Sponsor;;24;20,94500;0,05200;0,016000;124,525;100,00;11,2400;0,000;100,412;35,800;0,005;298,650;298,350;25,90;298,150;263,177;0,000;24,900;25,400;24,700;301,050;;;;;0,00;0,00;0,00;3,00;2,63;16,949;25,247;0,59;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;17,6300;0,00000;0,0000;-0,00083415;-0,00083415;0,00180;-1,83747;0,5717;28,089000;-0,000054;23,751939;23,728080;0,0000;-0,0102;0,00;0,04;0,00;0,00;1,59;;22,955;24,001;0,0195517;20,94600;0,05200;0,00500;0,0002338;;22,49;24,00;;;
Manufacturer;;25;20,94500;0,05300;0,017000;128,400;100,00;11,2400;0,000;100,420;35,800;0,005;298,650;298,350;25,90;298,117;263,177;0,000;24,900;25,400;24,600;301,050;;;;;0,00;0,00;0,00;3,00;2,63;16,963;25,218;0,59;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;12,2916;0,00000;0,0000;0,00583903;0,00583903;0,00208;0,26655;0,5840;28,522691;-0,000020;24,118667;24,094439;0,0000;-0,0039;0,00;0,04;0,00;0,00;1,33;;22,635;23,378;0,0136314;20,94700;0,05200;0,00600;0,0001607;;22,49;25,00;;;
Test start time (s);60;26;20,94500;0,05200;0,017000;128,825;100,01;11,2300;0,000;100,420;35,800;0,005;298,650;298,350;25,90;298,117;263,177;0,000;24,900;25,400;24,600;301,050;;;;;0,00;0,00;0,00;3,00;2,63;16,964;25,234;0,59;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;27,7220;0,00000;0,0000;0,00583903;0,00583903;-0,00069;0,26699;0,6117;28,569858;-0,000089;24,158550;24,134282;0,0000;-0,0170;0,00;0,04;0,00;0,00;1,61;;22,534;23,378;0,0307437;20,94600;0,05200;-0,00500;0,0003603;;22,48;26,00;;;
Time to ignition (s);;27;20,94500;0,05200;-0,007000;127,825;100,01;11,2300;0,000;100,420;35,800;0,005;298,650;298,350;25,90;298,117;263,177;0,000;24,900;25,400;24,600;301,050;;;;;0,00;0,00;0,00;3,00;2,63;16,949;25,250;0,59;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;34,4390;0,00000;0,0000;-0,00083415;-0,00083415;-0,00244;-1,86165;0,6462;28,458755;-0,000106;24,064602;24,040429;0,0000;-0,0202;0,00;0,04;0,00;0,00;1,61;;22,851;23,377;0,0381929;20,94600;0,05200;-0,01200;0,0004489;;22,48;27,00;;;
Time to flameout (s);13845;28;20,94600;0,05200;-0,023000;125,075;100,01;11,2300;0,000;100,420;35,800;0,005;298,650;298,350;26,00;298,117;263,177;0,000;24,900;25,400;24,600;301,050;;;;;0,00;0,00;0,00;3,00;2,63;16,928;25,229;0,59;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;46,3508;0,00000;0,0000;0,00000000;0,00000000;-0,00440;Infinity;0,6925;28,150963;-0,000106;23,804334;23,780422;0,0000;-0,0199;0,00;0,04;0,00;0,00;1,87;;23,477;23,377;0,0514030;20,94500;0,05200;-0,02000;0,0006104;;22,48;28,00;;;
End of test criteria;User end of test;29;20,94700;0,05200;-0,007000;127,325;100,01;11,2300;0,000;100,420;35,800;0,005;298,650;298,350;26,00;298,150;263,177;0,000;24,900;25,400;24,700;301,050;;;;;0,00;0,00;0,00;3,00;2,63;16,968;25,250;0,59;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;29,5064;0,00000;0,0000;0,00000000;0,00000000;-0,00119;Infinity;0,7220;28,403041;-0,000106;24,017491;23,993365;0,0000;-0,0201;0,00;0,04;0,00;0,00;1,61;;23,976;23,970;0,0327226;20,94600;0,05200;-0,00700;0,0003856;;22,48;29,00;;;
User EOT time (s);14519;30;20,94700;0,05200;-0,010000;120,200;100,01;11,2300;0,000;100,420;35,800;0,005;298,650;298,350;26,00;298,117;263,177;0,000;24,900;25,400;24,600;301,050;;;;;0,00;0,00;0,00;3,00;2,64;16,930;25,247;0,59;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;22,5423;0,00000;0,0000;0,00000000;0,00000000;-0,00188;Infinity;0,7446;27,596895;-0,000141;23,335817;23,312376;0,0000;-0,0259;0,00;0,04;0,00;0,00;1,01;;24,044;23,970;0,0249994;20,94800;0,05200;-0,01000;0,0003028;;22,48;30,00;;;
MLR EOT mass (g/m²);;31;20,94600;0,05200;-0,003000;128,775;100,01;11,2300;0,000;100,420;35,800;0,005;298,650;298,350;25,90;298,117;263,177;0,000;24,900;25,400;24,600;301,050;;;;;0,00;0,00;0,00;3,00;2,64;17,006;25,242;0,59;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;11,3304;0,00000;0,0000;0,00000000;0,00000000;0,00234;Infinity;0,7559;28,564313;-0,000141;24,153862;24,129599;0,0000;-0,0268;0,00;0,04;0,00;0,00;1,33;;23,815;23,741;0,0125655;20,94700;0,05200;0,00700;0,0001481;;22,48;31,00;;;
MLR time period (s);;32;20,94600;0,05300;0,005000;123,325;100,02;11,2300;0,000;100,412;35,800;0,005;298,750;298,350;26,00;298,150;263,177;0,000;24,900;25,400;24,700;301,050;;;;;0,00;0,00;0,00;3,00;2,64;16,951;25,239;0,59;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;13,0022;0,00000;0,0000;0,00000000;0,00000000;0,00179;Infinity;0,7689;27,948651;-0,000192;23,641174;23,609520;0,0000;-0,0359;0,00;0,04;0,00;0,00;1,30;;23,451;23,741;0,0144194;20,94700;0,05200;0,00500;0,0001734;;22,48;32,00;;;
Truncate graphs at EOT;;33;20,94800;0,05200;-0,003000;124,125;100,01;11,2300;0,000;100,420;35,800;0,005;298,650;298,350;26,00;298,150;263,177;0,000;24,900;25,400;24,700;301,050;;;;;0,00;0,00;0,00;3,00;2,64;16,951;25,242;0,59;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;8,9505;0,00000;0,0000;0,00000000;0,00000000;0,00402;Infinity;0,7779;28,043849;-0,000158;23,713760;23,689939;0,0000;-0,0296;0,00;0,04;0,00;0,00;1,58;;23,073;22,916;0,0099261;20,94600;0,05200;0,01400;0,0001198;;22,48;33,00;;;
