General information;;time (s);O2;CO2;CO;Pdiff;Light;Mass;Methane;AmbP;AmbH;HFM;TC stack;TC smoke;TC amb.;TC cone;T PK;Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;TEext1;TEext2;TEext3;TEext4;TEext5;TEext6;TEext7;TEext8;TEext9;TEext10;TEext11;TEext12;TEext13;TEext14;TEext15;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31;
;;;%;%;%;Pa;-;g;g/s;Pa;%;kW/m²;°C;°C;°C;°C;°C;g/min;°C;°C;°C;°C;ppm;ppm;%;ppm;ppm;no;no;;no;%;°C;no;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;kW/m²;MJ/kg;m²/kg;g/s;g/(s*m²);[kg/kg];[kg/kg];MJ/m²;g/s;1/m;l/s;l/s;m²/s;(m²/s)/m²;m²;m²;g/s;g/s;g/s;g;kW/m²;g;kW;[%];[%];%;;;;;;;
Specimen number;R3;19;20,95600;0,05100;-0,011000;132,250;100,03;1613,9101;0,000;100,604;41,500;0,005;298,850;298,450;26,30;298,250;263,203;0,000;24,900;25,600;24,800;301,250;;;;;0,00;0,00;0,00;3,00;7,58;15,912;25,050;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;12,3359;0,00000;0,0000;0,02000046;0,02000046;0,00199;0,05555;0,3324;28,671373;-0,000046;24,260627;24,228155;0,0000;-0,0092;0,00;0,10;0,00;0,00;1,23;;16,524;14,533;0,0131254;20,95200;0,05300;0,00500;0,0001542;;1625,52;19,00;;;
E (MJ/kg);13,10;20;20,95600;0,05200;-0,001000;130,100;100,02;1613,9101;0,000;100,604;41,500;0,005;298,850;298,550;26,30;298,250;263,203;0,000;24,900;25,600;24,800;301,250;;;;;0,00;0,00;0,00;3,00;7,58;15,919;25,028;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;23,3800;0,00000;0,0000;-0,00250006;-0,00250006;-0,00054;-0,26679;0,3558;28,437361;0,000007;24,062615;24,038460;0,0000;0,0013;0,00;0,10;0,00;0,00;1,22;;16,590;14,533;0,0248763;20,95200;0,05200;-0,00500;0,0002934;;1625,52;20,00;;;
Initial mass (g);11,61;21;20,95300;0,05300;-0,012000;126,500;100,02;1613,9101;0,000;100,604;41,500;0,005;298,850;298,550;26,30;298,250;263,203;0,000;24,900;25,600;24,800;301,250;;;;;0,00;0,00;0,00;3,00;7,58;15,870;25,028;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;3,3211;0,00000;0,0000;0,00000000;0,00000000;0,00318;Infinity;0,3591;28,041156;0,000025;23,727361;23,703542;0,0000;0,0048;0,00;0,11;0,00;0,00;0,91;;16,436;13,894;0,0035336;20,95300;0,05200;0,01000;0,0000432;;1625,52;21,00;;;
Thickness (mm);13,03;22;20,95200;0,05400;0,010000;127,475;100,02;1613,9101;0,000;100,604;41,500;0,005;298,850;298,550;26,30;298,250;263,203;0,000;24,900;25,600;24,800;301,250;;;;;0,00;0,00;0,00;3,00;7,58;15,912;25,026;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;18,8734;0,00000;0,0000;0,15416662;0,15416662;0,00146;0,00708;0,3780;28,149012;0,000042;23,818625;23,794715;0,0000;0,0083;0,00;0,12;0,00;0,00;1,50;;16,193;13,894;0,0200813;20,95100;0,05300;0,00300;0,0002399;;1625,52;22,00;;;
Surface area (cm²);10,64;23;20,95100;0,05400;0,008000;128,400;100,02;1613,9101;0,000;100,604;41,500;0,005;298,850;298,550;26,30;298,250;263,203;0,000;24,900;25,600;24,800;301,250;;;;;0,00;0,00;0,00;3,00;7,58;15,919;25,039;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;2,0807;0,00000;0,0000;-1,23333295;-1,23333295;0,00445;-0,00089;0,3801;28,250956;0,000060;23,904886;23,880889;0,0000;0,0118;0,00;0,13;0,00;0,00;1,21;;15,945;12,921;0,0022139;20,95200;0,05300;0,01500;0,0000276;;1625,52;23,00;;;
Sponsor;;24;20,95200;0,05300;-0,005000;125,200;100,01;1615,7601;0,000;100,604;41,500;0,005;298,850;298,550;26,30;298,250;263,203;0,000;24,900;25,600;24,800;301,250;;;;;0,00;0,00;0,00;3,00;7,59;15,910;25,047;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;9,2726;0,00000;0,0000;0,00000000;0,00000000;0,00169;Infinity;0,3894;27,896698;0,000112;23,605127;23,581431;0,0000;0,0218;0,00;0,15;0,00;0,00;0,91;;15,517;12,921;0,0098660;20,95300;0,05200;0,00400;0,0001191;;1627,37;24,00;;;
Manufacturer;;25;20,95100;0,05400;-0,002000;128,225;100,01;1613,9101;0,000;100,608;41,500;0,005;298,850;298,550;26,30;298,250;263,203;0,000;24,900;25,600;24,800;301,250;;;;;0,00;0,00;0,00;3,00;7,59;15,898;25,050;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;20,1919;0,00000;0,0000;1,23333295;1,23333295;0,00022;0,00054;0,4096;28,231697;0,000113;23,888590;23,864610;0,0000;0,0222;0,00;0,17;0,00;0,00;1,21;;15,486;12,778;0,0214841;20,95200;0,05200;-0,00200;0,0002555;;1625,52;25,00;;;
Test start time (s);60;26;20,95100;0,05400;-0,012000;132,075;100,02;1613,9101;0,000;100,604;41,500;0,005;298,850;298,550;26,30;298,217;263,203;0,000;24,900;25,500;24,800;301,250;;;;;0,00;0,00;0,00;3,00;7,59;15,912;25,042;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;32,7472;0,00000;0,0000;-0,15416662;-0,15416662;-0,00281;-0,00436;0,4423;28,652397;0,000062;24,244570;24,220232;0,0000;0,0123;0,00;0,19;0,00;0,00;1,23;;15,908;12,778;0,0348430;20,95200;0,05200;-0,01400;0,0004073;;1625,52;26,00;;;
Time to ignition (s);30;27;20,95000;0,05300;-0,021000;133,875;100,01;1613,9101;0,000;100,600;41,500;0,005;298,850;298,550;26,30;298,250;263,203;0,000;24,900;25,600;24,800;301,250;;;;;0,00;0,00;0,00;3,00;7,59;15,927;25,047;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;20,1486;0,00000;0,0000;0,00000000;0,00000000;-0,00232;Infinity;0,4624;28,846982;0,000097;24,409221;24,384718;0,0000;0,0194;0,00;0,21;0,00;0,00;0,64;;16,299;13,326;0,0214381;20,95400;0,05300;-0,01200;0,0002486;;1625,52;27,00;;;
Time to flameout (s);3115;28;20,95100;0,05300;-0,010000;127,575;100,01;1613,9101;0,000;100,604;41,500;0,005;298,950;298,550;26,30;298,250;263,209;0,000;24,900;25,600;24,800;301,250;;;;;0,00;0,00;0,00;3,00;7,59;15,919;25,047;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;22,6694;0,00000;0,0000;0,00000000;0,00000000;-0,00277;Infinity;0,4851;28,155340;0,000097;23,831951;23,800064;0,0000;0,0190;0,00;0,22;0,00;0,00;0,62;;16,481;13,326;0,0241202;20,95400;0,05200;-0,01400;0,0002866;;1625,52;28,00;;;
