s,C,C,C,C,C,C,C,kW,mol/mol,Pa
Time,T1,T2,T3,T5,T9,T10,T11,HRR,O2_room,p_box
 6.40186E+001, 2.83565E+001, 3.06647E+001, 2.50000E+001, 2.50000E+001, 2.50546E+001, 2.70372E+001, 2.82329E+001, 1.80019E-002, 2.05658E-001, 4.20691E+002
 6.50139E+001, 2.73650E+001, 3.08473E+001, 2.50000E+001, 2.50000E+001, 2.50539E+001, 2.73919E+001, 2.84896E+001, 1.80002E-002, 2.05652E-001, 4.22904E+002
 6.60093E+001, 2.75938E+001, 2.98354E+001, 2.50000E+001, 2.50000E+001, 2.50538E+001, 2.70067E+001, 2.84746E+001, 1.79908E-002, 2.05644E-001, 4.24873E+002
 6.70053E+001, 2.85334E+001, 3.04610E+001, 2.50000E+001, 2.50000E+001, 2.50538E+001, 2.64605E+001, 2.83091E+001, 1.80135E-002, 2.05630E-001, 4.26694E+002
 6.80189E+001, 2.80949E+001, 3.08452E+001, 2.50000E+001, 2.50000E+001, 2.50539E+001, 2.70762E+001, 2.81471E+001, 1.80144E-002, 2.05606E-001, 4.28558E+002
 6.90087E+001, 2.80966E+001, 2.97652E+001, 2.50000E+001, 2.50000E+001, 2.50554E+001, 2.76238E+001, 2.84434E+001, 1.79955E-002, 2.05576E-001, 4.30179E+002
 7.00179E+001, 2.78836E+001, 3.02114E+001, 2.50000E+001, 2.50000E+001, 2.50574E+001, 2.75325E+001, 2.85795E+001, 1.80036E-002, 2.05558E-001, 4.31706E+002
 7.10038E+001, 2.83686E+001, 3.03553E+001, 2.50000E+001, 2.50000E+001, 2.50565E+001, 2.72269E+001, 2.84194E+001, 1.79769E-002, 2.05535E-001, 4.33210E+002
 7.20072E+001, 2.78162E+001, 3.01416E+001, 2.50000E+001, 2.50000E+001, 2.50546E+001, 2.71412E+001, 2.86360E+001, 1.79965E-002, 2.05497E-001, 4.34592E+002
 7.30106E+001, 2.75086E+001, 2.99706E+001, 2.50000E+001, 2.50000E+001, 2.50532E+001, 2.73913E+001, 2.85910E+001, 1.79960E-002, 2.05465E-001, 4.35971E+002
 7.40140E+001, 2.74145E+001, 3.02138E+001, 2.50000E+001, 2.50000E+001, 2.50522E+001, 2.72315E+001, 2.85218E+001, 1.79958E-002, 2.05455E-001, 4.37420E+002
 7.50173E+001, 2.76998E+001, 3.06594E+001, 2.50000E+001, 2.50000E+001, 2.50517E+001, 2.70357E+001, 2.85242E+001, 1.80024E-002, 2.05447E-001, 4.38885E+002
 7.60078E+001, 2.76474E+001, 3.02085E+001, 2.50000E+001, 2.50000E+001, 2.50530E+001, 2.74947E+001, 2.85075E+001, 1.80262E-002, 2.05441E-001, 4.40259E+002
 7.70175E+001, 2.81816E+001, 3.00808E+001, 2.50000E+001, 2.50000E+001, 2.50550E+001, 2.75320E+001, 2.84252E+001, 1.80037E-002, 2.05441E-001, 4.41564E+002
 7.80200E+001, 2.77212E+001, 3.04597E+001, 2.50000E+001, 2.50000E+001, 2.50536E+001, 2.73458E+001, 2.85207E+001, 1.79860E-002, 2.05429E-001, 4.42781E+002
 7.90039E+001, 2.92853E+001, 3.02887E+001, 2.50000E+001, 2.50000E+001, 2.50531E+001, 2.71812E+001, 2.87393E+001, 1.79953E-002, 2.05398E-001, 4.43769E+002
 8.00164E+001, 2.77008E+001, 3.04220E+001, 2.50000E+001, 2.50000E+001, 2.50557E+001, 2.68343E+001, 2.86935E+001, 1.79914E-002, 2.05375E-001, 4.44716E+002
 8.10111E+001, 2.74016E+001, 3.05640E+001, 2.50000E+001, 2.50000E+001, 2.50584E+001, 2.66355E+001, 2.85853E+001, 1.80197E-002, 2.05354E-001, 4.45715E+002
 8.20201E+001, 2.73001E+001, 3.05286E+001, 2.50000E+001, 2.50000E+001, 2.50630E+001, 2.68134E+001, 2.84751E+001, 1.80016E-002, 2.05321E-001, 4.46849E+002
 8.30089E+001, 2.71343E+001, 3.03269E+001, 2.50000E+001, 2.50000E+001, 2.50653E+001, 2.70723E+001, 2.85009E+001, 1.79999E-002, 2.05295E-001, 4.47952E+002
 8.40180E+001, 2.72953E+001, 3.00244E+001, 2.50000E+001, 2.50000E+001, 2.50645E+001, 2.72320E+001, 2.85742E+001, 1.80046E-002, 2.05278E-001, 4.49147E+002
 8.50068E+001, 2.72926E+001, 2.99293E+001, 2.50000E+001, 2.50000E+001, 2.50631E+001, 2.75190E+001, 2.85797E+001, 1.80031E-002, 2.05283E-001, 4.50530E+002
 8.60158E+001, 2.74870E+001, 3.00371E+001, 2.50000E+001, 2.50000E+001, 2.50625E+001, 2.77753E+001, 2.83672E+001, 1.79919E-002, 2.05261E-001, 4.51808E+002
 8.70046E+001, 2.73148E+001, 3.04428E+001, 2.50000E+001, 2.50000E+001, 2.50661E+001, 2.81088E+001, 2.82095E+001, 1.80029E-002, 2.05221E-001, 4.52719E+002
 8.80137E+001, 2.72502E+001, 3.07651E+001, 2.50000E+001, 2.50000E+001, 2.50668E+001, 2.81216E+001, 2.86019E+001, 1.79979E-002, 2.05198E-001, 4.53423E+002
 8.90025E+001, 2.84997E+001, 3.12326E+001, 2.50000E+001, 2.50000E+001, 2.50625E+001, 2.77665E+001, 2.83658E+001, 1.79991E-002, 2.05190E-001, 4.53847E+002
 9.00115E+001, 2.79893E+001, 3.12693E+001, 2.50000E+001, 2.50000E+001, 2.50547E+001, 2.70273E+001, 2.85094E+001, 1.80031E-002, 2.05166E-001, 4.54110E+002
 9.10003E+001, 2.77720E+001, 3.03206E+001, 2.50000E+001, 2.50000E+001, 2.50498E+001, 2.71968E+001, 2.86758E+001, 1.79995E-002, 2.05146E-001, 4.54304E+002
 9.20093E+001, 2.79123E+001, 3.01274E+001, 2.50000E+001, 2.50000E+001, 2.50490E+001, 2.77136E+001, 2.86662E+001, 1.80044E-002, 2.05134E-001, 4.54811E+002
 9.30184E+001, 2.81678E+001, 2.99342E+001, 2.50000E+001, 2.50000E+001, 2.50489E+001, 2.72453E+001, 2.86776E+001, 1.80008E-002, 2.05121E-001, 4.55458E+002
 9.40072E+001, 2.78186E+001, 3.00214E+001, 2.50000E+001, 2.50000E+001, 2.50498E+001, 2.66189E+001, 2.82765E+001, 1.79988E-002, 2.05126E-001, 4.56118E+002
