s,C,C,C,C,C,C,C,kW,mol/mol,Pa
Time,T1,T2,T3,T5,T9,T10,T11,HRR,O2_room,p_box
 4.50054E+001, 2.95358E+001, 3.23734E+001, 4.31374E+001, 2.99830E+001, 2.50633E+001, 2.61983E+001, 2.65803E+001, 1.79993E-002, 2.06383E-001, 2.88693E+002
 4.60119E+001, 2.96398E+001, 3.26605E+001, 4.31043E+001, 3.01000E+001, 2.50612E+001, 2.60645E+001, 2.71573E+001, 1.80000E-002, 2.06274E-001, 2.91662E+002
 4.70048E+001, 2.95465E+001, 3.20274E+001, 4.35263E+001, 3.00558E+001, 2.50588E+001, 2.55797E+001, 2.68886E+001, 1.80001E-002, 2.06192E-001, 2.94279E+002
 4.80112E+001, 2.90800E+001, 3.14395E+001, 4.34326E+001, 3.04067E+001, 2.50567E+001, 2.53199E+001, 2.63600E+001, 1.80003E-002, 2.06200E-001, 2.96655E+002
 4.90041E+001, 2.85527E+001, 3.10073E+001, 4.33801E+001, 3.01687E+001, 2.50555E+001, 2.56726E+001, 2.64052E+001, 1.80006E-002, 2.06169E-001, 2.98922E+002
 5.00106E+001, 2.81604E+001, 3.02800E+001, 4.33339E+001, 3.04442E+001, 2.50550E+001, 2.64399E+001, 2.67136E+001, 1.80001E-002, 2.06090E-001, 3.01124E+002
 5.10035E+001, 2.77673E+001, 2.96135E+001, 4.34291E+001, 3.02375E+001, 2.50537E+001, 2.63924E+001, 2.65093E+001, 1.80007E-002, 2.06023E-001, 3.03242E+002
 5.20100E+001, 2.75953E+001, 2.91595E+001, 4.26904E+001, 3.03000E+001, 2.50523E+001, 2.66007E+001, 2.66787E+001, 1.80004E-002, 2.06026E-001, 3.05354E+002
 5.30029E+001, 2.74728E+001, 2.87353E+001, 4.19849E+001, 3.04540E+001, 2.50513E+001, 2.67947E+001, 2.71483E+001, 1.79999E-002, 2.06084E-001, 3.07381E+002
 5.40093E+001, 2.74380E+001, 2.88016E+001, 4.18464E+001, 3.03178E+001, 2.50501E+001, 2.62999E+001, 2.75827E+001, 1.79989E-002, 2.06045E-001, 3.09269E+002
 5.50022E+001, 2.74247E+001, 2.89568E+001, 4.19429E+001, 3.01331E+001, 2.50483E+001, 2.54538E+001, 2.68561E+001, 1.79997E-002, 2.05879E-001, 3.11096E+002
 5.60087E+001, 2.73768E+001, 2.90379E+001, 4.20982E+001, 3.02523E+001, 2.50466E+001, 2.52328E+001, 2.63580E+001, 1.80018E-002, 2.05849E-001, 3.12947E+002
 5.70016E+001, 2.73743E+001, 2.87478E+001, 4.15930E+001, 3.05982E+001, 2.50454E+001, 2.60555E+001, 2.72954E+001, 1.79992E-002, 2.05864E-001, 3.14799E+002
 5.80081E+001, 2.73590E+001, 2.88001E+001, 4.13510E+001, 3.05867E+001, 2.50447E+001, 2.63913E+001, 2.74806E+001, 1.79997E-002, 2.05883E-001, 3.16652E+002
 5.90010E+001, 2.72966E+001, 2.92720E+001, 4.18735E+001, 3.03043E+001, 2.50438E+001, 2.58676E+001, 2.70696E+001, 1.79998E-002, 2.05876E-001, 3.18439E+002
 6.00074E+001, 2.72135E+001, 2.89019E+001, 4.14667E+001, 3.08209E+001, 2.50428E+001, 2.54180E+001, 2.76668E+001, 1.80011E-002, 2.05888E-001, 3.20179E+002
 6.10003E+001, 2.71157E+001, 2.86526E+001, 4.10027E+001, 3.08987E+001, 2.50423E+001, 2.54118E+001, 2.77255E+001, 1.80006E-002, 2.05828E-001, 3.21839E+002
 6.20068E+001, 2.69699E+001, 2.87238E+001, 4.13346E+001, 3.07072E+001, 2.50420E+001, 2.57517E+001, 2.74675E+001, 1.80000E-002, 2.05727E-001, 3.23262E+002
 6.30133E+001, 2.68138E+001, 2.87260E+001, 4.18032E+001, 3.03258E+001, 2.50420E+001, 2.55822E+001, 2.67064E+001, 1.80007E-002, 2.05668E-001, 3.24478E+002
 6.40062E+001, 2.66932E+001, 2.85523E+001, 4.13866E+001, 3.01513E+001, 2.50426E+001, 2.55117E+001, 2.70475E+001, 1.80000E-002, 2.05643E-001, 3.25610E+002
