s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW,mol/mol,Pa,m,C,C,m,C,C,m,C,C
Time,T1,T2,T3,T5,T9,T10,T11,rk_x075_z020,rk_x075_z035,rk_x075_z050,rk_x075_z070,rk_x075_z100,rk_x090_z020,rk_x090_z035,rk_x090_z050,rk_x090_z070,rk_x090_z100,rk_x105_z020,rk_x105_z035,rk_x105_z050,rk_x105_z070,rk_x105_z100,rk_x120_z020,rk_x120_z035,rk_x120_z050,rk_x120_z070,rk_x120_z100,rk_x135_z020,rk_x135_z035,rk_x135_z050,rk_x135_z070,rk_x135_z100,rk_x150_z020,rk_x150_z035,rk_x150_z050,rk_x150_z070,rk_x150_z100,Tmax_core,Tmax_T1cell,HRR,O2_room,p_box,zint_fire,Tupp_fire,Tlow_fire,zint_mid,Tupp_mid,Tlow_mid,zint_door,Tupp_door,Tlow_door
 1.13000E+002, 2.55922E+001, 2.72591E+001, 3.98357E+001, 2.97402E+001, 2.50170E+001, 2.52001E+001, 2.68693E+001, 7.77937E+001, 5.86282E+001, 5.48526E+001, 5.63362E+001, 5.90288E+001, 1.92389E+002, 1.53555E+002, 1.20909E+002, 9.89952E+001, 7.69060E+001, 3.40492E+001, 2.89606E+001, 2.84690E+001, 2.86727E+001, 2.89647E+001, 2.54573E+001, 2.54916E+001, 2.55922E+001, 2.56730E+001, 2.58630E+001, 2.53495E+001, 2.54270E+001, 2.55319E+001, 2.56177E+001, 2.58168E+001, 2.53028E+001, 2.53971E+001, 2.54989E+001, 2.55831E+001, 2.57855E+001, 3.16604E+002, 1.84785E+002, 3.79093E-002, 2.04749E-001, 2.77887E+002, 2.30000E-001, 2.60457E+001, 2.60457E+001, 1.22131E-001, 2.85570E+001, 2.50654E+001, 8.02222E-002, 2.73404E+001, 2.50174E+001
 1.14001E+002, 2.55982E+001, 2.72830E+001, 4.03012E+001, 2.95292E+001, 2.50168E+001, 2.53411E+001, 2.66585E+001, 7.79276E+001, 5.80980E+001, 5.47045E+001, 5.61290E+001, 5.85064E+001, 1.92687E+002, 1.53773E+002, 1.20904E+002, 9.83710E+001, 7.66191E+001, 3.42280E+001, 2.90894E+001, 2.85948E+001, 2.87671E+001, 2.91695E+001, 2.54574E+001, 2.54916E+001, 2.55982E+001, 2.56788E+001, 2.58710E+001, 2.53482E+001, 2.54257E+001, 2.55355E+001, 2.56218E+001, 2.58212E+001, 2.53011E+001, 2.53956E+001, 2.55014E+001, 2.55855E+001, 2.57845E+001, 3.16631E+002, 1.85226E+002, 3.79109E-002, 2.04781E-001, 2.78309E+002, 2.30000E-001, 2.60477E+001, 2.60477E+001, 1.23272E-001, 2.85090E+001, 2.50657E+001, 8.80091E-002, 2.75664E+001, 2.50177E+001
 1.15002E+002, 2.56011E+001, 2.73470E+001, 3.97386E+001, 2.91611E+001, 2.50167E+001, 2.55116E+001, 2.64382E+001, 7.73986E+001, 5.77452E+001, 5.40990E+001, 5.53780E+001, 5.82520E+001, 1.93049E+002, 1.53937E+002, 1.20664E+002, 9.75128E+001, 7.55586E+001, 3.46195E+001, 2.91924E+001, 2.87827E+001, 2.90600E+001, 2.98208E+001, 2.54575E+001, 2.54911E+001, 2.56011E+001, 2.56838E+001, 2.58752E+001, 2.53469E+001, 2.54251E+001, 2.55380E+001, 2.56234E+001, 2.58173E+001, 2.53012E+001, 2.53970E+001, 2.55037E+001, 2.55858E+001, 2.57779E+001, 3.15505E+002, 1.85791E+002, 3.79154E-002, 2.04763E-001, 2.78837E+002, 2.30000E-001, 2.60481E+001, 2.60481E+001, 1.22276E-001, 2.84030E+001, 2.50665E+001, 8.61513E-002, 2.74089E+001, 2.50176E+001
 1.16002E+002, 2.56058E+001, 2.73941E+001, 3.99008E+001, 2.91707E+001, 2.50167E+001, 2.56550E+001, 2.70039E+001, 7.60527E+001, 5.64317E+001, 5.30173E+001, 5.40420E+001, 5.72966E+001, 1.93550E+002, 1.54476E+002, 1.21302E+002, 9.86309E+001, 7.54859E+001, 3.53841E+001, 2.93852E+001, 2.90738E+001, 2.92693E+001, 3.04400E+001, 2.54621E+001, 2.54964E+001, 2.56058E+001, 2.56861E+001, 2.58844E+001, 2.53491E+001, 2.54292E+001, 2.55412E+001, 2.56227E+001, 2.58201E+001, 2.53062E+001, 2.54038E+001, 2.55069E+001, 2.55835E+001, 2.57826E+001, 3.16327E+002, 1.86284E+002, 3.79156E-002, 2.04722E-001, 2.79513E+002, 2.30000E-001, 2.60420E+001, 2.60420E+001, 1.21876E-001, 2.84524E+001, 2.50676E+001, 7.57563E-002, 2.71111E+001, 2.50174E+001
 1.17001E+002, 2.56141E+001, 2.74342E+001, 3.95158E+001, 2.95496E+001, 2.50165E+001, 2.58873E+001, 2.74185E+001, 7.46285E+001, 5.58410E+001, 5.20107E+001, 5.31446E+001, 5.64381E+001, 1.93004E+002, 1.53658E+002, 1.20951E+002, 9.90738E+001, 7.61158E+001, 3.53012E+001, 2.94316E+001, 2.90798E+001, 2.91644E+001, 2.99153E+001, 2.54711E+001, 2.55083E+001, 2.56141E+001, 2.56839E+001, 2.58907E+001, 2.53570E+001, 2.54394E+001, 2.55459E+001, 2.56216E+001, 2.58330E+001, 2.53162E+001, 2.54159E+001, 2.55115E+001, 2.55833E+001, 2.58017E+001, 3.15767E+002, 1.85265E+002, 3.79143E-002, 2.04674E-001, 2.80120E+002, 2.30000E-001, 2.60441E+001, 2.60441E+001, 1.22339E-001, 2.85990E+001, 2.50686E+001, 6.77068E-002, 2.70172E+001, 2.50172E+001
 1.18001E+002, 2.56166E+001, 2.74651E+001, 3.96967E+001, 2.96166E+001, 2.50163E+001, 2.55597E+001, 2.68989E+001, 7.39122E+001, 5.57387E+001, 5.22127E+001, 5.31004E+001, 5.57806E+001, 1.91924E+002, 1.52475E+002, 1.20005E+002, 9.84263E+001, 7.58627E+001, 3.49911E+001, 2.93559E+001, 2.88891E+001, 2.89754E+001, 2.95639E+001, 2.54813E+001, 2.55216E+001, 2.56166E+001, 2.56825E+001, 2.58966E+001, 2.53700E+001, 2.54540E+001, 2.55511E+001, 2.56236E+001, 2.58480E+001, 2.53278E+001, 2.54289E+001, 2.55171E+001, 2.55883E+001, 2.58251E+001, 3.15823E+002, 1.83981E+002, 3.79140E-002, 2.04643E-001, 2.80592E+002, 2.30000E-001, 2.60565E+001, 2.60565E+001, 1.21307E-001, 2.85770E+001, 2.50695E+001, 6.84442E-002, 2.70972E+001, 2.50170E+001
 1.19001E+002, 2.56183E+001, 2.74410E+001, 3.97034E+001, 2.93341E+001, 2.50161E+001, 2.52418E+001, 2.71071E+001, 7.38590E+001, 5.52122E+001, 5.11612E+001, 5.23279E+001, 5.55236E+001, 1.91697E+002, 1.52256E+002, 1.19834E+002, 9.81663E+001, 7.52487E+001, 3.53586E+001, 2.94019E+001, 2.88851E+001, 2.89323E+001, 2.95595E+001, 2.54932E+001, 2.55352E+001, 2.56183E+001, 2.56855E+001, 2.59080E+001, 2.53819E+001, 2.54666E+001, 2.55560E+001, 2.56287E+001, 2.58623E+001, 2.53326E+001, 2.54344E+001, 2.55204E+001, 2.55954E+001, 2.58403E+001, 3.15988E+002, 1.83694E+002, 3.79136E-002, 2.04666E-001, 2.81007E+002, 2.30000E-001, 2.60567E+001, 2.60567E+001, 1.20957E-001, 2.84798E+001, 2.50701E+001, 7.46944E-002, 2.72846E+001, 2.50169E+001
 1.20001E+002, 2.56229E+001, 2.74044E+001, 4.00126E+001, 2.97057E+001, 2.50160E+001, 2.53511E+001, 2.70471E+001, 7.41802E+001, 5.55751E+001, 5.19376E+001, 5.26033E+001, 5.46564E+001, 1.91922E+002, 1.52687E+002, 1.21011E+002, 9.97438E+001, 7.66709E+001, 3.51810E+001, 2.94776E+001, 2.88304E+001, 2.88459E+001, 2.94732E+001, 2.54985E+001, 2.55414E+001, 2.56229E+001, 2.56889E+001, 2.59117E+001, 2.53823E+001, 2.54682E+001, 2.55583E+001, 2.56348E+001, 2.58629E+001, 2.53294E+001, 2.54322E+001, 2.55225E+001, 2.56029E+001, 2.58362E+001, 3.15933E+002, 1.83661E+002, 3.79130E-002, 2.04659E-001, 2.81461E+002, 2.30000E-001, 2.60571E+001, 2.60571E+001, 1.22310E-001, 2.85368E+001, 2.50708E+001, 8.06339E-002, 2.72409E+001, 2.50173E+001
 1.21000E+002, 2.56270E+001, 2.73118E+001, 3.98249E+001, 2.98407E+001, 2.50158E+001, 2.55971E+001, 2.63189E+001, 7.53336E+001, 5.67412E+001, 5.25297E+001, 5.35589E+001, 5.60600E+001, 1.91437E+002, 1.52540E+002, 1.20734E+002, 9.98035E+001, 7.85339E+001, 3.41428E+001, 2.92107E+001, 2.86647E+001, 2.87059E+001, 2.85957E+001, 2.54893E+001, 2.55374E+001, 2.56270E+001, 2.56938E+001, 2.58855E+001, 2.53783E+001, 2.54647E+001, 2.55603E+001, 2.56391E+001, 2.58449E+001, 2.53278E+001, 2.54315E+001, 2.55268E+001, 2.56083E+001, 2.58182E+001, 3.15998E+002, 1.83544E+002, 3.79117E-002, 2.04620E-001, 2.81806E+002, 2.30000E-001, 2.60664E+001, 2.60664E+001, 1.22080E-001, 2.85897E+001, 2.50715E+001, 8.49305E-002, 2.73610E+001, 2.50174E+001
 1.22002E+002, 2.56244E+001, 2.72406E+001, 4.01003E+001, 2.96074E+001, 2.50155E+001, 2.58201E+001, 2.61552E+001, 7.61299E+001, 5.69270E+001, 5.33995E+001, 5.42352E+001, 5.63691E+001, 1.91617E+002, 1.52750E+002, 1.20664E+002, 9.96953E+001, 7.78725E+001, 3.41007E+001, 2.91051E+001, 2.85371E+001, 2.86374E+001, 2.87229E+001, 2.54813E+001, 2.55322E+001, 2.56244E+001, 2.56937E+001, 2.58690E+001, 2.53776E+001, 2.54637E+001, 2.55625E+001, 2.56405E+001, 2.58263E+001, 2.53283E+001, 2.54329E+001, 2.55301E+001, 2.56083E+001, 2.57990E+001, 3.15939E+002, 1.83670E+002, 3.79109E-002, 2.04591E-001, 2.82063E+002, 2.30000E-001, 2.60658E+001, 2.60658E+001, 1.19902E-001, 2.85160E+001, 2.50722E+001, 7.70672E-002, 2.71440E+001, 2.50170E+001
 1.23002E+002, 2.56271E+001, 2.72245E+001, 3.98871E+001, 2.95014E+001, 2.50155E+001, 2.65787E+001, 2.67523E+001, 7.62105E+001, 5.73575E+001, 5.34947E+001, 5.45112E+001, 5.70006E+001, 1.92107E+002, 1.53372E+002, 1.20988E+002, 9.99582E+001, 7.86947E+001, 3.39353E+001, 2.91158E+001, 2.86299E+001, 2.86462E+001, 2.86308E+001, 2.54813E+001, 2.55307E+001, 2.56271E+001, 2.56919E+001, 2.58619E+001, 2.53765E+001, 2.54624E+001, 2.55638E+001, 2.56397E+001, 2.58184E+001, 2.53260E+001, 2.54297E+001, 2.55287E+001, 2.56041E+001, 2.57894E+001, 3.15869E+002, 1.84443E+002, 3.79080E-002, 2.04576E-001, 2.82476E+002, 2.30000E-001, 2.60686E+001, 2.60686E+001, 1.19862E-001, 2.85235E+001, 2.50728E+001, 6.44737E-002, 2.70660E+001, 2.50169E+001
 1.24002E+002, 2.56296E+001, 2.72793E+001, 4.05308E+001, 2.94883E+001, 2.50154E+001, 2.62913E+001, 2.65939E+001, 7.65552E+001, 5.69085E+001, 5.35985E+001, 5.46721E+001, 5.70323E+001, 1.92391E+002, 1.53527E+002, 1.20868E+002, 9.96460E+001, 7.83276E+001, 3.40115E+001, 2.91459E+001, 2.87073E+001, 2.88475E+001, 2.86948E+001, 2.54778E+001, 2.55269E+001, 2.56296E+001, 2.56971E+001, 2.58801E+001, 2.53724E+001, 2.54577E+001, 2.55631E+001, 2.56389E+001, 2.58257E+001, 2.53227E+001, 2.54244E+001, 2.55261E+001, 2.56014E+001, 2.57995E+001, 3.15925E+002, 1.84884E+002, 3.79067E-002, 2.04560E-001, 2.82970E+002, 2.30000E-001, 2.60680E+001, 2.60680E+001, 1.20764E-001, 2.85842E+001, 2.50732E+001, 6.65953E-002, 2.71374E+001, 2.50169E+001
 1.25001E+002, 2.56296E+001, 2.73452E+001, 4.06807E+001, 2.97659E+001, 2.50152E+001, 2.65822E+001, 2.63715E+001, 7.60549E+001, 5.67463E+001, 5.29527E+001, 5.42507E+001, 5.71359E+001, 1.92386E+002, 1.53159E+002, 1.20330E+002, 9.88614E+001, 7.72861E+001, 3.41982E+001, 2.91651E+001, 2.87644E+001, 2.89053E+001, 2.90021E+001, 2.54755E+001, 2.55225E+001, 2.56296E+001, 2.57008E+001, 2.59136E+001, 2.53694E+001, 2.54533E+001, 2.55621E+001, 2.56397E+001, 2.58475E+001, 2.53215E+001, 2.54218E+001, 2.55249E+001, 2.56027E+001, 2.58178E+001, 3.16019E+002, 1.84975E+002, 3.79074E-002, 2.04554E-001, 2.83414E+002, 2.30000E-001, 2.60712E+001, 2.60712E+001, 1.21155E-001, 2.86336E+001, 2.50732E+001, 7.32806E-002, 2.72144E+001, 2.50166E+001
 1.26001E+002, 2.56277E+001, 2.73782E+001, 4.05701E+001, 2.99790E+001, 2.50150E+001, 2.62765E+001, 2.65360E+001, 7.52539E+001, 5.60408E+001, 5.27511E+001, 5.39452E+001, 5.67553E+001, 1.92230E+002, 1.52608E+002, 1.19636E+002, 9.79696E+001, 7.59291E+001, 3.45953E+001, 2.92100E+001, 2.88347E+001, 2.89963E+001, 2.95735E+001, 2.54759E+001, 2.55206E+001, 2.56277E+001, 2.57022E+001, 2.59300E+001, 2.53694E+001, 2.54527E+001, 2.55624E+001, 2.56430E+001, 2.58628E+001, 2.53232E+001, 2.54231E+001, 2.55255E+001, 2.56067E+001, 2.58273E+001, 3.16080E+002, 1.84647E+002, 3.79091E-002, 2.04553E-001, 2.83844E+002, 2.30000E-001, 2.60721E+001, 2.60721E+001, 1.21052E-001, 2.86105E+001, 2.50732E+001, 7.77099E-002, 2.70465E+001, 2.50167E+001
 1.27001E+002, 2.56275E+001, 2.73755E+001, 3.98200E+001, 2.95648E+001, 2.50150E+001, 2.56081E+001, 2.64435E+001, 7.40491E+001, 5.51192E+001, 5.18966E+001, 5.30437E+001, 5.61967E+001, 1.92462E+002, 1.53065E+002, 1.20356E+002, 9.86074E+001, 7.58906E+001, 3.52196E+001, 2.93780E+001, 2.89320E+001, 2.90404E+001, 2.94491E+001, 2.54810E+001, 2.55238E+001, 2.56275E+001, 2.57034E+001, 2.59192E+001, 2.53714E+001, 2.54550E+001, 2.55634E+001, 2.56467E+001, 2.58664E+001, 2.53263E+001, 2.54264E+001, 2.55278E+001, 2.56114E+001, 2.58302E+001, 3.16161E+002, 1.84670E+002, 3.79116E-002, 2.04531E-001, 2.84264E+002, 2.30000E-001, 2.60670E+001, 2.60670E+001, 1.20256E-001, 2.85295E+001, 2.50733E+001, 8.15732E-002, 2.69624E+001, 2.50171E+001
 1.28000E+002, 2.56313E+001, 2.73597E+001, 3.93876E+001, 2.95542E+001, 2.50148E+001, 2.59346E+001, 2.65571E+001, 7.31790E+001, 5.51465E+001, 5.17436E+001, 5.29902E+001, 5.58406E+001, 1.92212E+002, 1.53092E+002, 1.21002E+002, 9.96157E+001, 7.73596E+001, 3.47146E+001, 2.93747E+001, 2.88424E+001, 2.88683E+001, 2.90098E+001, 2.54852E+001, 2.55283E+001, 2.56313E+001, 2.57045E+001, 2.59121E+001, 2.53745E+001, 2.54583E+001, 2.55653E+001, 2.56492E+001, 2.58666E+001, 2.53300E+001, 2.54306E+001, 2.55313E+001, 2.56157E+001, 2.58331E+001, 3.16362E+002, 1.84211E+002, 3.79121E-002, 2.04500E-001, 2.84641E+002, 2.30000E-001, 2.60743E+001, 2.60743E+001, 1.20276E-001, 2.85263E+001, 2.50737E+001, 8.48990E-002, 2.71417E+001, 2.50173E+001
 1.29000E+002, 2.56301E+001, 2.73636E+001, 3.95232E+001, 2.95482E+001, 2.50146E+001, 2.59626E+001, 2.61181E+001, 7.40687E+001, 5.59920E+001, 5.24280E+001, 5.35311E+001, 5.61461E+001, 1.90717E+002, 1.51167E+002, 1.18830E+002, 9.76819E+001, 7.62546E+001, 3.43968E+001, 2.91586E+001, 2.86343E+001, 2.86811E+001, 2.87851E+001, 2.54832E+001, 2.55289E+001, 2.56301E+001, 2.57041E+001, 2.59063E+001, 2.53783E+001, 2.54619E+001, 2.55675E+001, 2.56504E+001, 2.58638E+001, 2.53338E+001, 2.54355E+001, 2.55353E+001, 2.56193E+001, 2.58349E+001, 3.16497E+002, 1.82760E+002, 3.79124E-002, 2.04485E-001, 2.84942E+002, 2.30000E-001, 2.60882E+001, 2.60882E+001, 1.20001E-001, 2.85199E+001, 2.50744E+001, 8.35434E-002, 2.73289E+001, 2.50171E+001
 1.30002E+002, 2.56276E+001, 2.73574E+001, 4.08021E+001, 2.93863E+001, 2.50146E+001, 2.62164E+001, 2.65008E+001, 7.40020E+001, 5.56572E+001, 5.19989E+001, 5.29573E+001, 5.56159E+001, 1.91145E+002, 1.51718E+002, 1.19301E+002, 9.78426E+001, 7.48884E+001, 3.49774E+001, 2.92210E+001, 2.86072E+001, 2.86206E+001, 2.92147E+001, 2.54864E+001, 2.55307E+001, 2.56276E+001, 2.57009E+001, 2.59123E+001, 2.53815E+001, 2.54663E+001, 2.55706E+001, 2.56529E+001, 2.58666E+001, 2.53376E+001, 2.54411E+001, 2.55393E+001, 2.56219E+001, 2.58347E+001, 3.16495E+002, 1.83077E+002, 3.79117E-002, 2.04494E-001, 2.85243E+002, 2.30000E-001, 2.60800E+001, 2.60800E+001, 1.20090E-001, 2.85244E+001, 2.50753E+001, 8.02560E-002, 2.74064E+001, 2.50170E+001
 1.31002E+002, 2.56331E+001, 2.73354E+001, 4.03887E+001, 2.98203E+001, 2.50147E+001, 2.67832E+001, 2.71724E+001, 7.48887E+001, 5.63861E+001, 5.25532E+001, 5.35667E+001, 5.61595E+001, 1.91219E+002, 1.51882E+002, 1.19887E+002, 9.86830E+001, 7.62432E+001, 3.44813E+001, 2.92092E+001, 2.86126E+001, 2.85620E+001, 2.89490E+001, 2.54928E+001, 2.55366E+001, 2.56331E+001, 2.57021E+001, 2.59149E+001, 2.53862E+001, 2.54722E+001, 2.55749E+001, 2.56562E+001, 2.58707E+001, 2.53415E+001, 2.54473E+001, 2.55439E+001, 2.56248E+001, 2.58411E+001, 3.16487E+002, 1.83052E+002, 3.79107E-002, 2.04514E-001, 2.85648E+002, 2.30000E-001, 2.60922E+001, 2.60922E+001, 1.22247E-001, 2.86351E+001, 2.50763E+001, 7.27280E-002, 2.73211E+001, 2.50172E+001
 1.32001E+002, 2.56366E+001, 2.73322E+001, 4.01302E+001, 3.02605E+001, 2.50147E+001, 2.64850E+001, 2.74190E+001, 7.53857E+001, 5.68400E+001, 5.27561E+001, 5.35598E+001, 5.60113E+001, 1.89636E+002, 1.49744E+002, 1.17703E+002, 9.65935E+001, 7.46272E+001, 3.46683E+001, 2.91484E+001, 2.85716E+001, 2.86363E+001, 2.87065E+001, 2.54948E+001, 2.55426E+001, 2.56366E+001, 2.57084E+001, 2.59159E+001, 2.53915E+001, 2.54788E+001, 2.55796E+001, 2.56598E+001, 2.58758E+001, 2.53458E+001, 2.54533E+001, 2.55489E+001, 2.56295E+001, 2.58492E+001, 3.16520E+002, 1.83364E+002, 3.79118E-002, 2.04517E-001, 2.86020E+002, 2.30000E-001, 2.60974E+001, 2.60974E+001, 1.23913E-001, 2.87324E+001, 2.50772E+001, 6.20602E-002, 2.69683E+001, 2.50173E+001
 1.33001E+002, 2.56380E+001, 2.73469E+001, 4.12659E+001, 2.98830E+001, 2.50147E+001, 2.60099E+001, 2.71391E+001, 7.50938E+001, 5.63852E+001, 5.25662E+001, 5.35991E+001, 5.60740E+001, 1.90960E+002, 1.51240E+002, 1.18943E+002, 9.71988E+001, 7.34752E+001, 3.52959E+001, 2.92965E+001, 2.86304E+001, 2.86317E+001, 2.93425E+001, 2.55039E+001, 2.55475E+001, 2.56380E+001, 2.57106E+001, 2.59311E+001, 2.53954E+001, 2.54840E+001, 2.55833E+001, 2.56641E+001, 2.58823E+001, 2.53483E+001, 2.54572E+001, 2.55522E+001, 2.56338E+001, 2.58524E+001, 3.16475E+002, 1.82795E+002, 3.79106E-002, 2.04493E-001, 2.86387E+002, 2.30000E-001, 2.60945E+001, 2.60945E+001, 1.22585E-001, 2.86132E+001, 2.50781E+001, 6.33749E-002, 2.69238E+001, 2.50174E+001
 1.34001E+002, 2.56427E+001, 2.73301E+001, 4.08854E+001, 3.00213E+001, 2.50147E+001, 2.53090E+001, 2.69636E+001, 7.50683E+001, 5.67919E+001, 5.28253E+001, 5.36671E+001, 5.61290E+001, 1.90897E+002, 1.51152E+002, 1.19144E+002, 9.81021E+001, 7.57952E+001, 3.44642E+001, 2.91864E+001, 2.86076E+001, 2.86317E+001, 2.89938E+001, 2.55057E+001, 2.55511E+001, 2.56427E+001, 2.57140E+001, 2.59268E+001, 2.53973E+001, 2.54862E+001, 2.55854E+001, 2.56670E+001, 2.58801E+001, 2.53487E+001, 2.54577E+001, 2.55532E+001, 2.56352E+001, 2.58464E+001, 3.16549E+002, 1.83272E+002, 3.79109E-002, 2.04422E-001, 2.86858E+002, 2.30000E-001, 2.60972E+001, 2.60972E+001, 1.21958E-001, 2.86682E+001, 2.50789E+001, 7.05648E-002, 2.70335E+001, 2.50177E+001
 1.35001E+002, 2.56388E+001, 2.73285E+001, 4.08519E+001, 3.01840E+001, 2.50146E+001, 2.51652E+001, 2.66776E+001, 7.52567E+001, 5.70624E+001, 5.32280E+001, 5.44423E+001, 5.69922E+001, 1.89315E+002, 1.49107E+002, 1.16697E+002, 9.51721E+001, 7.28800E+001, 3.48599E+001, 2.90653E+001, 2.85005E+001, 2.85639E+001, 2.87203E+001, 2.54998E+001, 2.55473E+001, 2.56388E+001, 2.57136E+001, 2.59155E+001, 2.53965E+001, 2.54846E+001, 2.55845E+001, 2.56661E+001, 2.58718E+001, 2.53478E+001, 2.54561E+001, 2.55528E+001, 2.56350E+001, 2.58410E+001, 3.16565E+002, 1.82994E+002, 3.79107E-002, 2.04392E-001, 2.87259E+002, 2.30000E-001, 2.61010E+001, 2.61010E+001, 1.22192E-001, 2.86572E+001, 2.50795E+001, 7.48734E-002, 2.70754E+001, 2.50176E+001
 1.36000E+002, 2.56338E+001, 2.73710E+001, 4.14877E+001, 3.01627E+001, 2.50146E+001, 2.53153E+001, 2.68710E+001, 7.48070E+001, 5.66650E+001, 5.30202E+001, 5.41260E+001, 5.70467E+001, 1.91423E+002, 1.51637E+002, 1.19145E+002, 9.71016E+001, 7.33204E+001, 3.47931E+001, 2.91468E+001, 2.85749E+001, 2.86044E+001, 2.92472E+001, 2.54989E+001, 2.55428E+001, 2.56338E+001, 2.57095E+001, 2.59189E+001, 2.53937E+001, 2.54814E+001, 2.55825E+001, 2.56649E+001, 2.58709E+001, 2.53463E+001, 2.54536E+001, 2.55512E+001, 2.56341E+001, 2.58413E+001, 3.16490E+002, 1.83318E+002, 3.79092E-002, 2.04393E-001, 2.87573E+002, 2.30000E-001, 2.60901E+001, 2.60901E+001, 1.22508E-001, 2.86055E+001, 2.50797E+001, 7.95950E-002, 2.72684E+001, 2.50178E+001
 1.37002E+002, 2.56317E+001, 2.73238E+001, 4.05251E+001, 3.00837E+001, 2.50147E+001, 2.57295E+001, 2.63363E+001, 7.58718E+001, 5.78696E+001, 5.38625E+001, 5.51319E+001, 5.81962E+001, 1.89613E+002, 1.48899E+002, 1.16032E+002, 9.43601E+001, 7.35195E+001, 3.40024E+001, 2.89060E+001, 2.84805E+001, 2.86062E+001, 2.87123E+001, 2.54900E+001, 2.55365E+001, 2.56317E+001, 2.57093E+001, 2.59142E+001, 2.53914E+001, 2.54779E+001, 2.55808E+001, 2.56645E+001, 2.58722E+001, 2.53450E+001, 2.54511E+001, 2.55500E+001, 2.56335E+001, 2.58419E+001, 3.16575E+002, 1.82924E+002, 3.79075E-002, 2.04384E-001, 2.87978E+002, 2.30000E-001, 2.60970E+001, 2.60970E+001, 1.22126E-001, 2.86358E+001, 2.50798E+001, 7.73142E-002, 2.72416E+001, 2.50179E+001
 1.38002E+002, 2.56254E+001, 2.72908E+001, 4.12025E+001, 3.03666E+001, 2.50147E+001, 2.58985E+001, 2.61389E+001, 7.48646E+001, 5.70629E+001, 5.32966E+001, 5.48521E+001, 5.82373E+001, 1.90593E+002, 1.50366E+002, 1.16236E+002, 9.35384E+001, 7.16216E+001, 3.46841E+001, 2.90310E+001, 2.84635E+001, 2.86607E+001, 2.91504E+001, 2.54873E+001, 2.55310E+001, 2.56254E+001, 2.57090E+001, 2.59202E+001, 2.53897E+001, 2.54750E+001, 2.55792E+001, 2.56643E+001, 2.58737E+001, 2.53446E+001, 2.54491E+001, 2.55496E+001, 2.56340E+001, 2.58456E+001, 3.16575E+002, 1.83110E+002, 3.79095E-002, 2.04385E-001, 2.88384E+002, 2.30000E-001, 2.60904E+001, 2.60904E+001, 1.23297E-001, 2.86938E+001, 2.50798E+001, 8.46997E-002, 2.73495E+001, 2.50180E+001
 1.39002E+002, 2.56265E+001, 2.72769E+001, 4.06928E+001, 3.01971E+001, 2.50149E+001, 2.63201E+001, 2.63232E+001, 7.54752E+001, 5.73953E+001, 5.37198E+001, 5.54956E+001, 5.80003E+001, 1.90553E+002, 1.50255E+002, 1.15691E+002, 9.41070E+001, 7.21227E+001, 3.39747E+001, 2.89828E+001, 2.86459E+001, 2.88119E+001, 2.93999E+001, 2.54862E+001, 2.55291E+001, 2.56265E+001, 2.57087E+001, 2.59242E+001, 2.53891E+001, 2.54729E+001, 2.55785E+001, 2.56638E+001, 2.58756E+001, 2.53442E+001, 2.54470E+001, 2.55481E+001, 2.56332E+001, 2.58485E+001, 3.16670E+002, 1.83697E+002, 3.79109E-002, 2.04360E-001, 2.88875E+002, 2.30000E-001, 2.60986E+001, 2.60986E+001, 1.22500E-001, 2.86333E+001, 2.50799E+001, 8.67959E-002, 2.75507E+001, 2.50183E+001
 1.40001E+002, 2.56227E+001, 2.73120E+001, 4.09352E+001, 3.03623E+001, 2.50149E+001, 2.66596E+001, 2.67794E+001, 7.50179E+001, 5.72426E+001, 5.37827E+001, 5.51791E+001, 5.79492E+001, 1.89968E+002, 1.48732E+002, 1.13678E+002, 9.17653E+001, 7.00370E+001, 3.45444E+001, 2.89770E+001, 2.87860E+001, 2.87348E+001, 2.96247E+001, 2.54822E+001, 2.55256E+001, 2.56227E+001, 2.57102E+001, 2.59344E+001, 2.53881E+001, 2.54708E+001, 2.55769E+001, 2.56636E+001, 2.58853E+001, 2.53440E+001, 2.54451E+001, 2.55470E+001, 2.56334E+001, 2.58597E+001, 3.16630E+002, 1.84786E+002, 3.79103E-002, 2.04309E-001, 2.89387E+002, 2.30000E-001, 2.60940E+001, 2.60940E+001, 1.22222E-001, 2.86977E+001, 2.50801E+001, 8.13660E-002, 2.73607E+001, 2.50182E+001
