s,C,C,C,C,C,C,C,kW,mol/mol,Pa,m,C,C,m,C,C,m,C,C,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg
Time,T1,T2,T3,T5,T9,T10,T11,HRR,O2_room,p_box,zint_fire,Tupp_fire,Tlow_fire,zint_mid,Tupp_mid,Tlow_mid,zint_door,Tupp_door,Tlow_door,tr_fire_z03,tr_fire_z08,tr_fire_z13,tr_fire_z18,tr_fire_z22,tr_mid_z03,tr_mid_z08,tr_mid_z13,tr_mid_z18,tr_mid_z22,tr_door_z03,tr_door_z08,tr_door_z13,tr_door_z18,tr_door_z22,tr_roommean,tr_uppermean,tr_lowermean,tr_plenummean
 1.90021E+001, 2.50548E+001, 2.50514E+001, 3.62644E+001, 2.50162E+001, 2.50205E+001, 2.50271E+001, 2.50193E+001, 9.83702E-003, 2.06860E-001, 3.77410E+001, 2.24162E-001, 3.61046E+001, 2.51822E+001, 2.30000E-001, 2.50722E+001, 2.50085E+001, 2.30000E-001, 2.50285E+001, 2.50072E+001, 2.75797E-009, 3.78622E-009, 6.19235E-009, 1.82183E-008, 2.39788E-006, 9.66630E-022, 1.92855E-017, 4.17729E-012, 2.44372E-007, 1.57562E-007, 1.64218E-056, 1.35417E-057, 3.01714E-057, 5.18148E-055, 8.06313E-055, 4.26218E-007, 9.44760E-007, 1.36142E-007, 4.74580E-090
 2.00003E+001, 2.50601E+001, 2.50534E+001, 3.76266E+001, 2.50516E+001, 2.50226E+001, 2.50301E+001, 2.50213E+001, 1.09263E-002, 2.06860E-001, 4.24304E+001, 2.23523E-001, 3.70075E+001, 2.52030E+001, 2.30000E-001, 2.52730E+001, 2.50094E+001, 2.30000E-001, 2.50319E+001, 2.50079E+001, 2.20756E-009, 2.80216E-009, 4.57496E-009, 3.72350E-008, 2.88860E-006, 3.08645E-021, 1.89648E-016, 9.07662E-011, 1.12617E-006, 7.80336E-007, 7.23989E-055, 6.89531E-056, 5.89050E-054, 9.28697E-052, 1.25071E-051, 4.99159E-007, 1.12313E-006, 1.46773E-007, 2.78190E-087
 2.10032E+001, 2.50659E+001, 2.50625E+001, 3.95445E+001, 2.51025E+001, 2.50249E+001, 2.50335E+001, 2.50235E+001, 1.20824E-002, 2.06860E-001, 4.75250E+001, 2.22014E-001, 3.81420E+001, 2.52249E+001, 2.30000E-001, 2.54189E+001, 2.50105E+001, 2.30000E-001, 2.50356E+001, 2.50087E+001, 1.83487E-009, 2.14239E-009, 3.80531E-009, 1.39209E-007, 3.57210E-006, 2.41658E-020, 1.54910E-015, 1.55317E-009, 1.38444E-006, 1.68555E-006, 2.37926E-053, 4.17743E-054, 7.63351E-051, 1.21662E-048, 1.42346E-048, 5.80092E-007, 1.32635E-006, 1.57760E-007, 7.49672E-084
 2.20038E+001, 2.50723E+001, 2.51184E+001, 4.21044E+001, 2.51859E+001, 2.50273E+001, 2.50370E+001, 2.50257E+001, 1.32891E-002, 2.06860E-001, 5.30175E+001, 2.19952E-001, 3.87137E+001, 2.52479E+001, 2.30000E-001, 2.55557E+001, 2.50117E+001, 2.30000E-001, 2.50395E+001, 2.50096E+001, 1.58001E-009, 1.72921E-009, 4.39725E-009, 4.56359E-007, 4.49373E-006, 1.76112E-019, 1.56453E-014, 1.63721E-008, 1.22305E-006, 2.69396E-006, 5.86963E-052, 1.56528E-051, 7.34192E-048, 1.32990E-045, 1.35286E-045, 6.69429E-007, 1.55487E-006, 1.68941E-007, 2.63722E-080
 2.30044E+001, 2.50792E+001, 2.52946E+001, 4.40816E+001, 2.54443E+001, 2.50298E+001, 2.50408E+001, 2.50280E+001, 1.45571E-002, 2.06860E-001, 5.89257E+001, 2.18721E-001, 3.86482E+001, 2.52725E+001, 2.30000E-001, 2.58912E+001, 2.50129E+001, 2.30000E-001, 2.50437E+001, 2.50105E+001, 1.40300E-009, 1.45323E-009, 8.52409E-009, 9.15412E-007, 5.15553E-006, 9.27245E-019, 1.62521E-013, 7.52059E-008, 1.16376E-006, 4.07589E-006, 1.10418E-050, 1.01493E-048, 6.28082E-045, 1.48585E-042, 1.30846E-042, 7.67394E-007, 1.80738E-006, 1.80602E-007, 6.08931E-077
 2.40042E+001, 2.50866E+001, 2.54876E+001, 4.83013E+001, 2.57993E+001, 2.50326E+001, 2.50449E+001, 2.50305E+001, 1.58872E-002, 2.06858E-001, 6.53220E+001, 2.17049E-001, 3.99464E+001, 2.52980E+001, 1.80311E-001, 2.60314E+001, 2.50142E+001, 2.30000E-001, 2.50483E+001, 2.50114E+001, 1.29007E-009, 1.28316E-009, 2.85885E-008, 1.30567E-006, 6.95196E-006, 3.75824E-018, 1.41209E-012, 1.44423E-007, 1.07171E-006, 4.95110E-006, 1.81494E-049, 6.12275E-046, 5.96264E-042, 2.15368E-039, 1.62198E-039, 8.74460E-007, 2.08453E-006, 1.92609E-007, 9.76215E-074
 2.50006E+001, 2.50944E+001, 2.55991E+001, 4.89984E+001, 2.58660E+001, 2.50355E+001, 2.50492E+001, 2.50330E+001, 1.72612E-002, 2.06856E-001, 7.21017E+001, 2.15622E-001, 4.11632E+001, 2.53247E+001, 1.64620E-001, 2.61367E+001, 2.50155E+001, 2.30000E-001, 2.50531E+001, 2.50124E+001, 1.22306E-009, 1.18386E-009, 8.18581E-008, 1.53874E-006, 7.46731E-006, 1.40210E-017, 8.70580E-012, 1.78470E-007, 1.05744E-006, 5.51464E-006, 1.24585E-047, 4.12852E-043, 8.21049E-039, 5.16951E-036, 3.26255E-036, 9.90888E-007, 2.38696E-006, 2.04917E-007, 1.22337E-070
 2.60024E+001, 2.51020E+001, 2.56382E+001, 5.04106E+001, 2.61177E+001, 2.50381E+001, 2.50533E+001, 2.50351E+001, 1.79951E-002, 2.06853E-001, 7.88040E+001, 2.15114E-001, 4.20009E+001, 2.53510E+001, 1.67853E-001, 2.64261E+001, 2.50166E+001, 2.30000E-001, 2.50577E+001, 2.50132E+001, 1.18796E-009, 1.21051E-009, 1.40517E-007, 1.72968E-006, 8.05662E-006, 6.28687E-017, 3.31553E-011, 1.85058E-007, 1.15997E-006, 6.67148E-006, 5.45115E-045, 4.60119E-040, 2.28327E-035, 2.55237E-032, 1.31091E-032, 1.11515E-006, 2.71351E-006, 2.13910E-007, 1.49296E-067
 2.70043E+001, 2.51079E+001, 2.56340E+001, 5.07232E+001, 2.62739E+001, 2.50394E+001, 2.50562E+001, 2.50357E+001, 1.79952E-002, 2.06852E-001, 8.42469E+001, 2.14382E-001, 4.18743E+001, 2.53717E+001, 1.68420E-001, 2.65230E+001, 2.50170E+001, 2.30000E-001, 2.50612E+001, 2.50133E+001, 1.14701E-009, 1.34416E-009, 1.69069E-007, 2.01000E-006, 8.64946E-006, 3.11280E-016, 8.35795E-011, 1.77018E-007, 1.20075E-006, 7.38907E-006, 4.48134E-042, 1.22705E-036, 1.42056E-031, 2.34999E-028, 9.51056E-029, 1.24009E-006, 3.05447E-006, 2.14768E-007, 2.23365E-064
 2.80007E+001, 2.51126E+001, 2.55913E+001, 5.09537E+001, 2.64407E+001, 2.50400E+001, 2.50582E+001, 2.50356E+001, 1.79952E-002, 2.06852E-001, 8.88120E+001, 2.13548E-001, 4.16806E+001, 2.53897E+001, 1.69786E-001, 2.66616E+001, 2.50172E+001, 2.30000E-001, 2.50639E+001, 2.50132E+001, 1.10625E-009, 1.56542E-009, 1.62292E-007, 2.35417E-006, 9.19570E-006, 1.33007E-015, 1.58460E-010, 1.65477E-007, 1.22789E-006, 7.94515E-006, 9.38769E-039, 9.02701E-033, 1.69752E-027, 2.97756E-024, 9.03357E-025, 1.36437E-006, 3.39648E-006, 2.14838E-007, 5.73763E-061
 2.90025E+001, 2.51165E+001, 2.55074E+001, 5.10754E+001, 2.65112E+001, 2.50402E+001, 2.50596E+001, 2.50348E+001, 1.79952E-002, 2.06851E-001, 9.28464E+001, 2.13474E-001, 4.19439E+001, 2.54068E+001, 1.70713E-001, 2.67781E+001, 2.50175E+001, 2.30000E-001, 2.50659E+001, 2.50132E+001, 1.11296E-009, 1.83646E-009, 1.35112E-007, 2.48709E-006, 9.41713E-006, 4.60400E-015, 2.51678E-010, 1.55550E-007, 1.25857E-006, 8.50310E-006, 6.52979E-035, 2.05116E-028, 5.20432E-023, 1.03915E-019, 2.54445E-020, 1.48851E-006, 3.73339E-006, 2.15128E-007, 4.66873E-057
 3.00043E+001, 2.51199E+001, 2.54128E+001, 5.11340E+001, 2.65925E+001, 2.50403E+001, 2.50606E+001, 2.50336E+001, 1.79952E-002, 2.06851E-001, 9.64813E+001, 2.13974E-001, 4.24140E+001, 2.54233E+001, 1.71587E-001, 2.68993E+001, 2.50177E+001, 2.30000E-001, 2.50668E+001, 2.50131E+001, 1.15158E-009, 2.07153E-009, 1.05807E-007, 2.23683E-006, 9.55328E-006, 1.30224E-014, 3.56426E-010, 1.48114E-007, 1.29791E-006, 8.98823E-006, 1.22538E-030, 1.30445E-023, 3.55998E-018, 1.04061E-013, 9.54698E-015, 1.61286E-006, 4.06160E-006, 2.15762E-007, 1.19193E-052
 3.10008E+001, 2.51229E+001, 2.53377E+001, 5.11438E+001, 2.66537E+001, 2.50404E+001, 2.50613E+001, 2.50314E+001, 1.79952E-002, 2.06851E-001, 9.97919E+001, 2.14630E-001, 4.28956E+001, 2.54387E+001, 1.72110E-001, 2.69968E+001, 2.50179E+001, 2.30000E-001, 2.51106E+001, 2.50131E+001, 1.19380E-009, 2.22541E-009, 8.30512E-008, 1.82214E-006, 9.59376E-006, 3.06760E-014, 4.64056E-010, 1.42611E-007, 1.34756E-006, 9.31729E-006, 2.81114E-026, 1.91691E-019, 1.07118E-013, 9.42556E-008, 8.42787E-009, 1.73678E-006, 4.37961E-006, 2.16651E-007, 5.79093E-048
