s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PARAFFIN,MLR_PRODUCTS,MLR_TRACER,ZONE_1
 2.96002E+002, 1.79953E-002, 0.00000E+000,-4.62867E-003, 2.67078E-009,-1.33273E-002,-6.36025E-021, 7.21143E-005, 0.00000E+000, 1.11740E-004, 1.11506E-004, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.70775E+002
 2.97003E+002, 1.79954E-002, 0.00000E+000,-4.62880E-003, 1.11809E-008,-1.33288E-002,-6.36020E-021, 7.14648E-005, 0.00000E+000, 1.09532E-004, 1.09244E-004, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.71262E+002
 2.98005E+002, 1.79954E-002, 0.00000E+000,-4.62888E-003, 1.93342E-008,-1.33389E-002,-6.36016E-021, 6.73987E-005, 0.00000E+000, 9.51111E-005, 9.50266E-005, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.71720E+002
 2.99001E+002, 1.79955E-002, 0.00000E+000,-4.62974E-003,-1.58330E-009,-1.33629E-002,-6.36014E-021, 5.76014E-005, 0.00000E+000, 6.07077E-005, 6.04533E-005, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.72110E+002
 3.00003E+002, 1.79954E-002, 0.00000E+000,-4.62929E-003, 2.40625E-008,-1.33911E-002,-6.36009E-021, 4.65170E-005, 0.00000E+000, 2.17819E-005, 2.14977E-005, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.72427E+002
 3.01004E+002, 1.79953E-002, 0.00000E+000,-4.62890E-003, 3.03943E-008,-1.33970E-002,-6.36003E-021, 4.42754E-005, 0.00000E+000, 1.37320E-005, 1.37500E-005, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.72728E+002
 3.02001E+002, 1.79954E-002, 0.00000E+000,-4.62902E-003, 2.96811E-008,-1.33778E-002,-6.35996E-021, 5.18031E-005, 0.00000E+000, 4.00841E-005, 4.03278E-005, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.73078E+002
 3.03002E+002, 1.79952E-002, 0.00000E+000,-4.62852E-003,-6.16741E-010,-1.33460E-002,-6.35985E-021, 6.46019E-005, 0.00000E+000, 8.51803E-005, 8.52708E-005, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.73517E+002
 3.04004E+002, 1.79952E-002, 0.00000E+000,-4.62862E-003, 4.05597E-009,-1.33207E-002,-6.35975E-021, 7.46128E-005, 0.00000E+000, 1.20484E-004, 1.20480E-004, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.74024E+002
 3.05000E+002, 1.79952E-002, 0.00000E+000,-4.62919E-003, 6.55656E-009,-1.33124E-002,-6.35964E-021, 7.77130E-005, 0.00000E+000, 1.31458E-004, 1.31363E-004, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.74550E+002
 3.06002E+002, 1.79951E-002, 0.00000E+000,-4.62901E-003, 1.96005E-009,-1.33200E-002,-6.35952E-021, 7.47157E-005, 0.00000E+000, 1.20926E-004, 1.20779E-004, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.75059E+002
 3.07003E+002, 1.79951E-002, 0.00000E+000,-4.62926E-003, 1.04110E-009,-1.33323E-002,-6.35938E-021, 6.97517E-005, 0.00000E+000, 1.03482E-004, 1.03270E-004, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.75533E+002
 3.08005E+002, 1.79950E-002, 0.00000E+000,-4.62990E-003, 2.53355E-009,-1.33455E-002,-6.35923E-021, 6.42581E-005, 0.00000E+000, 8.41377E-005, 8.38966E-005, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.75970E+002
