General information;;time (s);O2;CO2;CO;Pdiff;Light;Mass;Methane;AmbP;AmbH;HFM;TC stack;TC smoke;TC amb.;TC cone;T PK;Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;TEext1;TEext2;TEext3;TEext4;TEext5;TEext6;TEext7;TEext8;TEext9;TEext10;TEext11;TEext12;TEext13;TEext14;TEext15;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31;
;;;%;%;%;Pa;-;g;g/s;Pa;%;kW/m²;°C;°C;°C;°C;°C;g/min;°C;°C;°C;°C;ppm;ppm;%;ppm;ppm;no;no;;no;%;°C;no;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;kW/m²;MJ/kg;m²/kg;g/s;g/(s*m²);[kg/kg];[kg/kg];MJ/m²;g/s;1/m;l/s;l/s;m²/s;(m²/s)/m²;m²;m²;g/s;g/s;g/s;g;kW/m²;g;kW;[%];[%];%;;;;;;;
Specimen number;R2;19;20,94400;0,05500;-0,021000;123,200;100,03;-0,7500;0,000;100,692;37,700;0,005;299,750;299,050;25,40;315,017;263,170;0,000;39,500;43,300;42,800;301,450;;;;;0,00;0,00;0,00;3,00;3,05;15,667;25,124;0,60;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;28,6152;0,00000;0,0000;0,00583347;0,00583347;0,00041;0,39607;0,6312;27,631409;-0,000144;23,451061;23,396296;0,0000;-0,0283;0,00;0,04;0,00;0,00;2,09;;31,326;30,482;0,0299602;20,94300;0,05500;0,00000;0,0003636;;10,47;19,00;;;
E (MJ/kg);13,10;20;20,94500;0,05500;0,009000;127,350;100,02;-0,7500;0,000;100,684;37,700;0,005;299,750;299,050;25,40;314,983;263,170;0,000;39,500;43,300;42,700;301,450;;;;;0,00;0,00;0,00;3,00;3,05;15,654;25,116;0,60;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;28,6037;0,00000;0,0000;-0,00083335;-0,00083335;-0,00182;-2,81879;0,6598;28,092937;-0,000099;23,842765;23,787085;0,0000;-0,0197;0,00;0,04;0,00;0,00;1,53;;31,190;30,482;0,0299480;20,94500;0,05500;-0,00900;0,0003567;;10,47;20,00;;;
Initial mass (g);11,22;21;20,94300;0,05600;0,019000;134,075;100,03;-0,7500;0,000;100,682;37,700;0,005;299,750;299,050;25,40;314,983;263,170;0,000;39,500;43,300;42,700;301,450;;;;;0,00;0,00;0,00;3,00;3,05;15,660;25,124;0,60;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;28,0316;0,00000;0,0000;0,00000000;0,00000000;-0,00034;Infinity;0,6879;28,825150;-0,000154;24,464201;24,407071;0,0000;-0,0316;0,00;0,04;0,00;0,00;1,88;;31,054;30,276;0,0293491;20,94400;0,05500;-0,00300;0,0003412;;10,47;21,00;;;
Thickness (mm);12,91;22;20,94300;0,05600;0,012000;134,000;100,03;-0,7500;0,000;100,684;37,700;0,005;299,750;298,950;25,40;314,983;263,170;0,000;39,500;43,300;42,700;301,450;;;;;0,00;0,00;0,00;3,00;3,05;15,641;25,132;0,60;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;20,7042;0,00000;0,0000;0,00000000;0,00000000;0,00144;Infinity;0,7086;28,817086;-0,000226;24,457357;24,392083;0,0000;-0,0461;0,00;0,04;0,00;0,00;1,88;;30,750;30,276;0,0216773;20,94400;0,05500;0,00400;0,0002526;;10,47;22,00;;;
Surface area (cm²);10,47;23;20,94200;0,05800;0,006000;123,850;100,03;-0,7500;0,000;100,690;37,700;0,005;299,750;298,950;25,40;314,983;263,170;0,000;39,500;43,300;42,700;301,450;;;;;0,00;0,00;0,00;3,00;3,05;15,683;25,138;0,60;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;5,3390;0,00000;0,0000;0,00000000;0,00000000;0,00285;Infinity;0,7139;27,704205;-0,000181;23,512843;23,450090;0,0000;-0,0355;0,00;0,04;0,00;0,00;1,22;;29,979;29,095;0,0055899;20,94600;0,05400;0,01000;0,0000685;;10,47;23,00;;;
Sponsor;;24;20,94000;0,05800;0,006000;131,500;100,04;-0,7500;0,000;100,682;37,700;0,005;299,750;298,950;25,40;314,983;263,170;0,000;39,500;43,300;42,700;301,450;;;;;0,00;0,00;0,00;3,00;3,05;15,671;25,143;0,60;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;6,5377;0,00000;0,0000;0,00000000;0,00000000;0,00269;Infinity;0,7204;28,547005;-0,000269;24,228136;24,163474;-0,0001;-0,0544;0,00;0,04;0,00;0,00;1,26;;28,977;29,095;0,0068449;20,94600;0,05400;0,00900;0,0000812;;10,47;24,00;;;
Manufacturer;;25;20,93900;0,05800;0,004000;132,050;100,04;-0,7500;0,000;100,682;37,700;0,005;299,750;298,950;25,40;314,983;263,170;0,000;39,500;43,300;42,700;301,450;;;;;0,00;0,00;0,00;3,00;3,05;15,627;25,127;0,60;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;28,8500;0,00000;0,0000;0,00000000;0,00000000;-0,00034;Infinity;0,7493;28,606641;-0,000307;24,278750;24,213953;-0,0001;-0,0622;0,00;0,04;0,00;0,00;1,86;;28,526;28,135;0,0302060;20,94400;0,05400;-0,00300;0,0003538;;10,47;25,00;;;
Test start time (s);60;26;20,93900;0,05800;0,011000;128,125;100,04;-0,7500;0,000;100,682;37,700;0,005;299,750;299,050;25,40;314,950;263,170;0,000;39,500;43,200;42,700;301,450;;;;;0,00;0,00;0,00;3,00;3,06;15,652;25,130;0,60;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;36,5890;0,00000;0,0000;0,00000000;0,00000000;-0,00207;Infinity;0,7859;28,178289;-0,000328;23,915204;23,859355;-0,0001;-0,0655;0,00;0,04;0,00;0,00;1,84;;28,687;28,135;0,0383087;20,94400;0,05300;-0,01000;0,0004550;;10,47;26,00;;;
Time to ignition (s);;27;20,93900;0,05700;-0,003000;130,900;100,05;-0,7500;0,000;100,682;37,700;0,005;299,750;298,950;25,40;314,950;263,170;0,000;39,500;43,200;42,700;301,450;;;;;0,00;0,00;0,00;3,00;3,06;15,681;25,106;0,60;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;33,1118;0,00000;0,0000;0,00000000;0,00000000;-0,00209;Infinity;0,8190;28,481804;-0,000382;24,172800;24,108285;-0,0001;-0,0772;0,00;0,04;0,00;0,00;1,55;;28,915;28,345;0,0346680;20,94500;0,05200;-0,01000;0,0004073;;10,47;27,00;;;
Time to flameout (s);;28;20,94000;0,05600;-0,006000;126,250;100,04;-0,7500;0,000;100,688;37,700;0,005;299,750;298,950;25,40;314,950;263,170;0,000;39,500;43,200;42,700;301,450;;;;;0,00;0,00;0,00;3,00;3,06;15,610;25,116;0,60;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;34,2842;0,00000;0,0000;0,00000000;0,00000000;-0,00132;Infinity;0,8533;27,971346;-0,000336;23,739569;23,676210;-0,0001;-0,0667;0,00;0,04;0,00;0,00;1,82;;29,086;28,345;0,0358956;20,94400;0,05200;-0,00700;0,0004297;;10,47;28,00;;;
