s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW,mol/mol,Pa
Time,T1,T1_gas,T2,T2_gas,T3,T3_gas,T5,T5_gas,T9,T9_gas,T10,T10_gas,T11,T11_gas,HRR,O2_room,p_box
 2.90003E+001, 2.55512E+001, 2.52614E+001, 2.57843E+001, 2.58526E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50441E+001, 2.50939E+001, 2.50611E+001, 2.50934E+001, 2.50324E+001, 2.50619E+001, 1.80002E-002, 2.06821E-001, 1.81728E+002
 3.00041E+001, 2.55897E+001, 2.52660E+001, 2.58026E+001, 2.61190E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50492E+001, 2.51096E+001, 2.50645E+001, 2.51130E+001, 2.50368E+001, 2.51091E+001, 1.79998E-002, 2.06824E-001, 1.91799E+002
 3.10078E+001, 2.56246E+001, 2.52705E+001, 2.58555E+001, 2.64041E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50572E+001, 2.51519E+001, 2.50791E+001, 2.53448E+001, 2.50462E+001, 2.51722E+001, 1.80004E-002, 2.06829E-001, 2.01020E+002
 3.20116E+001, 2.56563E+001, 2.52818E+001, 2.59131E+001, 2.62342E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50668E+001, 2.51416E+001, 2.51396E+001, 2.59072E+001, 2.50594E+001, 2.52031E+001, 1.80000E-002, 2.06835E-001, 2.09589E+002
 3.30024E+001, 2.56848E+001, 2.52865E+001, 2.59456E+001, 2.61881E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50746E+001, 2.51494E+001, 2.52564E+001, 2.63650E+001, 2.50714E+001, 2.51738E+001, 1.79994E-002, 2.06837E-001, 2.17744E+002
 3.40061E+001, 2.57107E+001, 2.52958E+001, 2.59903E+001, 2.65295E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50848E+001, 2.52155E+001, 2.53868E+001, 2.63778E+001, 2.50821E+001, 2.52369E+001, 1.80003E-002, 2.06827E-001, 2.25516E+002
 3.50099E+001, 2.57352E+001, 2.52972E+001, 2.60580E+001, 2.65930E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.51082E+001, 2.54310E+001, 2.55130E+001, 2.66343E+001, 2.51062E+001, 2.54667E+001, 1.80005E-002, 2.06792E-001, 2.33110E+002
 3.60006E+001, 2.57588E+001, 2.53172E+001, 2.61036E+001, 2.64024E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.51478E+001, 2.54918E+001, 2.56413E+001, 2.67586E+001, 2.51443E+001, 2.55551E+001, 1.79992E-002, 2.06725E-001, 2.40409E+002
 3.70122E+001, 2.57826E+001, 2.53344E+001, 2.61584E+001, 2.70182E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.51705E+001, 2.52663E+001, 2.57413E+001, 2.66142E+001, 2.51841E+001, 2.56321E+001, 1.79869E-002, 2.06623E-001, 2.47366E+002
 3.80017E+001, 2.58064E+001, 2.53657E+001, 2.62544E+001, 2.69123E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.51715E+001, 2.51349E+001, 2.58320E+001, 2.67128E+001, 2.52342E+001, 2.58730E+001, 1.80003E-002, 2.06544E-001, 2.54122E+002
