s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW,mol/mol,Pa
Time,T1,T2,T3,T5,T9,T10,T11,rk_x075_z020,rk_x075_z035,rk_x075_z050,rk_x075_z070,rk_x075_z100,rk_x090_z020,rk_x090_z035,rk_x090_z050,rk_x090_z070,rk_x090_z100,rk_x105_z020,rk_x105_z035,rk_x105_z050,rk_x105_z070,rk_x105_z100,rk_x120_z020,rk_x120_z035,rk_x120_z050,rk_x120_z070,rk_x120_z100,rk_x135_z020,rk_x135_z035,rk_x135_z050,rk_x135_z070,rk_x135_z100,rk_x150_z020,rk_x150_z035,rk_x150_z050,rk_x150_z070,rk_x150_z100,Tmax_core,Tmax_T1cell,HRR,O2_room,p_box
 2.00007E+001, 2.51592E+001, 2.51058E+001, 3.46983E+001, 2.57703E+001, 2.50279E+001, 2.50425E+001, 2.50358E+001, 5.36874E+001, 4.02963E+001, 3.90401E+001, 3.92913E+001, 4.01181E+001, 1.39831E+002, 1.11425E+002, 9.16432E+001, 7.95416E+001, 6.64864E+001, 3.96251E+001, 3.10310E+001, 2.99263E+001, 2.93563E+001, 2.83197E+001, 2.53230E+001, 2.51917E+001, 2.51592E+001, 2.51455E+001, 2.51284E+001, 2.51008E+001, 2.50861E+001, 2.50791E+001, 2.50743E+001, 2.50680E+001, 2.50656E+001, 2.50669E+001, 2.50653E+001, 2.50628E+001, 2.50589E+001, 2.21648E+002, 1.36363E+002, 2.27395E-002, 2.06860E-001, 5.85085E+001
 2.10019E+001, 2.51618E+001, 2.52497E+001, 3.56033E+001, 2.62509E+001, 2.50310E+001, 2.50478E+001, 2.50398E+001, 5.58097E+001, 4.11228E+001, 3.97614E+001, 4.02973E+001, 4.14096E+001, 1.50028E+002, 1.19248E+002, 9.78283E+001, 8.44175E+001, 6.98006E+001, 3.64894E+001, 3.08238E+001, 2.96955E+001, 2.91798E+001, 2.80252E+001, 2.53035E+001, 2.51861E+001, 2.51618E+001, 2.51501E+001, 2.51307E+001, 2.51058E+001, 2.50917E+001, 2.50860E+001, 2.50814E+001, 2.50746E+001, 2.50721E+001, 2.50740E+001, 2.50728E+001, 2.50702E+001, 2.50661E+001, 2.36738E+002, 1.44314E+002, 2.51726E-002, 2.06860E-001, 6.62929E+001
 2.20004E+001, 2.51654E+001, 2.56127E+001, 3.65926E+001, 2.66962E+001, 2.50342E+001, 2.50534E+001, 2.50440E+001, 5.72903E+001, 4.19882E+001, 4.06323E+001, 4.12511E+001, 4.23395E+001, 1.59998E+002, 1.27514E+002, 1.04366E+002, 8.90169E+001, 7.27148E+001, 3.60610E+001, 3.08850E+001, 2.97280E+001, 2.91826E+001, 2.80158E+001, 2.52827E+001, 2.51874E+001, 2.51654E+001, 2.51549E+001, 2.51324E+001, 2.51107E+001, 2.50981E+001, 2.50934E+001, 2.50890E+001, 2.50815E+001, 2.50790E+001, 2.50816E+001, 2.50808E+001, 2.50783E+001, 2.50739E+001, 2.51393E+002, 1.51597E+002, 2.77665E-002, 2.06859E-001, 7.46925E+001
 2.30015E+001, 2.51684E+001, 2.57798E+001, 3.68574E+001, 2.71200E+001, 2.50377E+001, 2.50595E+001, 2.50483E+001, 5.88303E+001, 4.25206E+001, 4.18315E+001, 4.24531E+001, 4.40998E+001, 1.69870E+002, 1.35686E+002, 1.10597E+002, 9.34149E+001, 7.34522E+001, 3.54221E+001, 3.07214E+001, 2.96495E+001, 2.91052E+001, 2.86897E+001, 2.52219E+001, 2.51837E+001, 2.51684E+001, 2.51554E+001, 2.51261E+001, 2.51123E+001, 2.51048E+001, 2.51016E+001, 2.50969E+001, 2.50882E+001, 2.50867E+001, 2.50898E+001, 2.50895E+001, 2.50870E+001, 2.50824E+001, 2.66580E+002, 1.60960E+002, 3.04928E-002, 2.06854E-001, 8.38306E+001
 2.40000E+001, 2.51694E+001, 2.58858E+001, 3.72112E+001, 2.74461E+001, 2.50416E+001, 2.50662E+001, 2.50527E+001, 6.00698E+001, 4.28248E+001, 4.26233E+001, 4.32032E+001, 4.53808E+001, 1.81086E+002, 1.45632E+002, 1.18284E+002, 9.88546E+001, 7.43153E+001, 3.65657E+001, 3.09920E+001, 2.97922E+001, 2.91864E+001, 2.98961E+001, 2.52400E+001, 2.51891E+001, 2.51694E+001, 2.51501E+001, 2.51495E+001, 2.51212E+001, 2.51130E+001, 2.51100E+001, 2.51048E+001, 2.50982E+001, 2.50948E+001, 2.50986E+001, 2.50988E+001, 2.50963E+001, 2.50920E+001, 2.82510E+002, 1.73209E+002, 3.33496E-002, 2.06845E-001, 9.38649E+001
 2.50003E+001, 2.51858E+001, 2.59231E+001, 3.90481E+001, 2.69925E+001, 2.50457E+001, 2.50733E+001, 2.50570E+001, 6.14593E+001, 4.29282E+001, 4.28248E+001, 4.35421E+001, 4.62817E+001, 1.92443E+002, 1.55758E+002, 1.26731E+002, 1.05486E+002, 7.80581E+001, 3.80661E+001, 3.18550E+001, 3.04544E+001, 2.98953E+001, 3.07416E+001, 2.52780E+001, 2.52096E+001, 2.51858E+001, 2.51643E+001, 2.51817E+001, 2.51333E+001, 2.51235E+001, 2.51205E+001, 2.51148E+001, 2.51128E+001, 2.51033E+001, 2.51077E+001, 2.51087E+001, 2.51064E+001, 2.51034E+001, 3.04405E+002, 1.85750E+002, 3.63384E-002, 2.06839E-001, 1.04691E+002
 2.60016E+001, 2.52044E+001, 2.60611E+001, 3.91550E+001, 2.72532E+001, 2.50497E+001, 2.50805E+001, 2.50606E+001, 6.29054E+001, 4.37729E+001, 4.31326E+001, 4.37357E+001, 4.66979E+001, 1.98841E+002, 1.61349E+002, 1.31498E+002, 1.09955E+002, 8.09352E+001, 3.92500E+001, 3.26215E+001, 3.10403E+001, 3.04328E+001, 3.15279E+001, 2.53156E+001, 2.52328E+001, 2.52044E+001, 2.51838E+001, 2.52084E+001, 2.51455E+001, 2.51344E+001, 2.51315E+001, 2.51261E+001, 2.51278E+001, 2.51117E+001, 2.51168E+001, 2.51187E+001, 2.51166E+001, 2.51169E+001, 3.13346E+002, 1.92943E+002, 3.79591E-002, 2.06835E-001, 1.15825E+002
 2.70006E+001, 2.52195E+001, 2.61667E+001, 3.90242E+001, 2.77670E+001, 2.50525E+001, 2.50863E+001, 2.50620E+001, 6.23085E+001, 4.30345E+001, 4.29977E+001, 4.34979E+001, 4.67835E+001, 1.98772E+002, 1.61563E+002, 1.31922E+002, 1.10694E+002, 8.19255E+001, 3.99281E+001, 3.30411E+001, 3.13899E+001, 3.06913E+001, 3.15135E+001, 2.53417E+001, 2.52484E+001, 2.52195E+001, 2.51999E+001, 2.52240E+001, 2.51551E+001, 2.51429E+001, 2.51407E+001, 2.51359E+001, 2.51392E+001, 2.51183E+001, 2.51241E+001, 2.51270E+001, 2.51256E+001, 2.51277E+001, 3.13556E+002, 1.93235E+002, 3.79764E-002, 2.06833E-001, 1.25660E+002
 2.80019E+001, 2.52330E+001, 2.62080E+001, 3.78972E+001, 2.76123E+001, 2.50544E+001, 2.50910E+001, 2.50613E+001, 6.15640E+001, 4.20615E+001, 4.24378E+001, 4.29130E+001, 4.55219E+001, 1.98825E+002, 1.61827E+002, 1.32196E+002, 1.11298E+002, 8.37074E+001, 4.05257E+001, 3.35013E+001, 3.18839E+001, 3.09343E+001, 3.14953E+001, 2.53599E+001, 2.52620E+001, 2.52330E+001, 2.52131E+001, 2.52317E+001, 2.51628E+001, 2.51496E+001, 2.51483E+001, 2.51444E+001, 2.51464E+001, 2.51236E+001, 2.51298E+001, 2.51339E+001, 2.51332E+001, 2.51349E+001, 3.13609E+002, 1.93358E+002, 3.79865E-002, 2.06834E-001, 1.34350E+002
 2.90008E+001, 2.52466E+001, 2.60950E+001, 3.70184E+001, 2.75953E+001, 2.50560E+001, 2.50949E+001, 2.50558E+001, 6.07727E+001, 4.11210E+001, 4.18064E+001, 4.22900E+001, 4.46781E+001, 1.98458E+002, 1.61728E+002, 1.32359E+002, 1.11663E+002, 8.47605E+001, 4.28409E+001, 3.41546E+001, 3.24178E+001, 3.14896E+001, 3.16449E+001, 2.53834E+001, 2.52778E+001, 2.52466E+001, 2.52255E+001, 2.52408E+001, 2.51700E+001, 2.51556E+001, 2.51549E+001, 2.51518E+001, 2.51523E+001, 2.51281E+001, 2.51345E+001, 2.51396E+001, 2.51399E+001, 2.51407E+001, 3.13384E+002, 1.92798E+002, 3.80059E-002, 2.06836E-001, 1.42285E+002
