s,C,C,C,C,C,C,C,kW,mol/mol,Pa
Time,T1,T2,T3,T5,T9,T10,T11,HRR,O2_room,p_box
 5.30044E+001, 2.52243E+001, 2.62704E+001, 4.15112E+001, 2.70078E+001, 2.50274E+001, 2.51181E+001, 2.61671E+001, 1.80000E-002, 2.06399E-001, 1.82799E+002
 5.40006E+001, 2.52259E+001, 2.62806E+001, 4.18276E+001, 2.70124E+001, 2.50264E+001, 2.50963E+001, 2.61107E+001, 1.79999E-002, 2.06321E-001, 1.83506E+002
 5.50041E+001, 2.52283E+001, 2.63046E+001, 4.26588E+001, 2.69326E+001, 2.50256E+001, 2.50840E+001, 2.61367E+001, 1.80000E-002, 2.06247E-001, 1.84297E+002
 5.60002E+001, 2.52315E+001, 2.63160E+001, 4.25711E+001, 2.71837E+001, 2.50251E+001, 2.50769E+001, 2.62331E+001, 1.79999E-002, 2.06189E-001, 1.85206E+002
 5.70038E+001, 2.52350E+001, 2.62886E+001, 4.31776E+001, 2.76768E+001, 2.50248E+001, 2.50763E+001, 2.63656E+001, 1.79998E-002, 2.06152E-001, 1.86264E+002
 5.80004E+001, 2.52383E+001, 2.62534E+001, 4.23826E+001, 2.78871E+001, 2.50247E+001, 2.50849E+001, 2.61562E+001, 1.80074E-002, 2.06137E-001, 1.87421E+002
 5.90040E+001, 2.52414E+001, 2.62076E+001, 4.35139E+001, 2.78000E+001, 2.50246E+001, 2.51066E+001, 2.61673E+001, 1.79999E-002, 2.06135E-001, 1.88429E+002
 6.00010E+001, 2.52442E+001, 2.61518E+001, 4.49731E+001, 2.72774E+001, 2.50245E+001, 2.51285E+001, 2.62466E+001, 1.79999E-002, 2.06133E-001, 1.89208E+002
 6.10047E+001, 2.52481E+001, 2.61228E+001, 4.45911E+001, 2.78167E+001, 2.50244E+001, 2.51372E+001, 2.61720E+001, 1.80001E-002, 2.06121E-001, 1.89981E+002
 6.20017E+001, 2.52539E+001, 2.61591E+001, 4.41651E+001, 2.84137E+001, 2.50243E+001, 2.51485E+001, 2.60367E+001, 1.80002E-002, 2.06094E-001, 1.90753E+002
 6.30054E+001, 2.52612E+001, 2.62363E+001, 4.47209E+001, 2.80739E+001, 2.50240E+001, 2.51760E+001, 2.60928E+001, 1.80002E-002, 2.06058E-001, 1.91457E+002
 6.40024E+001, 2.52694E+001, 2.62851E+001, 4.40754E+001, 2.84588E+001, 2.50238E+001, 2.52018E+001, 2.61568E+001, 1.80000E-002, 2.06013E-001, 1.92222E+002
 6.50060E+001, 2.52773E+001, 2.63024E+001, 4.30601E+001, 2.84853E+001, 2.50235E+001, 2.51740E+001, 2.60688E+001, 1.80002E-002, 2.05967E-001, 1.93104E+002
 6.60031E+001, 2.52839E+001, 2.62977E+001, 4.24461E+001, 2.82678E+001, 2.50229E+001, 2.51065E+001, 2.60072E+001, 1.80000E-002, 2.05925E-001, 1.94015E+002
 6.70001E+001, 2.52888E+001, 2.63024E+001, 4.20180E+001, 2.79387E+001, 2.50223E+001, 2.50709E+001, 2.62367E+001, 1.80000E-002, 2.05870E-001, 1.94861E+002
 6.80037E+001, 2.52919E+001, 2.63111E+001, 4.19247E+001, 2.76787E+001, 2.50217E+001, 2.50630E+001, 2.63683E+001, 1.80004E-002, 2.05791E-001, 1.95599E+002
 6.90007E+001, 2.52932E+001, 2.63020E+001, 4.18074E+001, 2.75829E+001, 2.50211E+001, 2.50669E+001, 2.65552E+001, 1.80001E-002, 2.05719E-001, 1.96234E+002
 7.00044E+001, 2.52937E+001, 2.62678E+001, 4.15195E+001, 2.74451E+001, 2.50206E+001, 2.50700E+001, 2.64106E+001, 1.80000E-002, 2.05684E-001, 1.96860E+002
 7.10014E+001, 2.52940E+001, 2.62532E+001, 4.17051E+001, 2.73205E+001, 2.50202E+001, 2.50704E+001, 2.65619E+001, 1.80000E-002, 2.05671E-001, 1.97506E+002
