s,C,C,C,C,C,C,C,kW,mol/mol,Pa
Time,T1,T2,T3,T5,T9,T10,T11,HRR,O2_room,p_box
 4.10002E+001, 2.51262E+001, 2.53209E+001, 3.78892E+001, 2.70833E+001, 2.50285E+001, 2.54492E+001, 2.54724E+001, 1.80015E-002, 2.06852E-001, 1.01331E+002
 4.20017E+001, 2.51267E+001, 2.53429E+001, 3.81503E+001, 2.70282E+001, 2.50275E+001, 2.53604E+001, 2.54930E+001, 1.80014E-002, 2.06851E-001, 1.03015E+002
 4.30032E+001, 2.51272E+001, 2.53645E+001, 3.81353E+001, 2.70136E+001, 2.50266E+001, 2.52502E+001, 2.54992E+001, 1.80015E-002, 2.06849E-001, 1.04682E+002
 4.40004E+001, 2.51275E+001, 2.53844E+001, 3.80447E+001, 2.71117E+001, 2.50257E+001, 2.51709E+001, 2.54987E+001, 1.80015E-002, 2.06847E-001, 1.06320E+002
 4.50018E+001, 2.51278E+001, 2.54020E+001, 3.79214E+001, 2.71638E+001, 2.50246E+001, 2.51262E+001, 2.54950E+001, 1.80015E-002, 2.06843E-001, 1.07918E+002
 4.60033E+001, 2.51280E+001, 2.54179E+001, 3.78113E+001, 2.71488E+001, 2.50236E+001, 2.51013E+001, 2.54847E+001, 1.80015E-002, 2.06836E-001, 1.09482E+002
 4.70005E+001, 2.51282E+001, 2.54331E+001, 3.76823E+001, 2.71149E+001, 2.50226E+001, 2.50873E+001, 2.54603E+001, 1.80015E-002, 2.06821E-001, 1.11010E+002
 4.80019E+001, 2.51284E+001, 2.54492E+001, 3.76116E+001, 2.70777E+001, 2.50218E+001, 2.50796E+001, 2.54352E+001, 1.80015E-002, 2.06793E-001, 1.12504E+002
 4.90034E+001, 2.51287E+001, 2.54679E+001, 3.75456E+001, 2.70429E+001, 2.50211E+001, 2.50763E+001, 2.54261E+001, 1.80015E-002, 2.06748E-001, 1.13962E+002
 5.00006E+001, 2.51291E+001, 2.54906E+001, 3.75220E+001, 2.70155E+001, 2.50206E+001, 2.50770E+001, 2.54278E+001, 1.80014E-002, 2.06700E-001, 1.15365E+002
 5.10021E+001, 2.51298E+001, 2.55189E+001, 3.75197E+001, 2.70004E+001, 2.50201E+001, 2.50820E+001, 2.54291E+001, 1.80014E-002, 2.06673E-001, 1.16700E+002
 5.20035E+001, 2.51308E+001, 2.55547E+001, 3.75660E+001, 2.69915E+001, 2.50196E+001, 2.50919E+001, 2.54062E+001, 1.80014E-002, 2.06674E-001, 1.17960E+002
 5.30007E+001, 2.51324E+001, 2.56004E+001, 3.76047E+001, 2.69902E+001, 2.50192E+001, 2.51061E+001, 2.53121E+001, 1.80014E-002, 2.06685E-001, 1.19133E+002
 5.40022E+001, 2.51347E+001, 2.56572E+001, 3.76806E+001, 2.69988E+001, 2.50187E+001, 2.51209E+001, 2.53178E+001, 1.80013E-002, 2.06690E-001, 1.20215E+002
 5.50036E+001, 2.51378E+001, 2.57199E+001, 3.79408E+001, 2.70203E+001, 2.50183E+001, 2.51336E+001, 2.53766E+001, 1.80014E-002, 2.06682E-001, 1.21212E+002
 5.60008E+001, 2.51419E+001, 2.57746E+001, 3.84496E+001, 2.70516E+001, 2.50178E+001, 2.51434E+001, 2.54098E+001, 1.80013E-002, 2.06658E-001, 1.22123E+002
 5.70023E+001, 2.51470E+001, 2.58042E+001, 3.89399E+001, 2.71129E+001, 2.50173E+001, 2.51471E+001, 2.53959E+001, 1.80014E-002, 2.06621E-001, 1.22965E+002
 5.80038E+001, 2.51528E+001, 2.58025E+001, 3.92813E+001, 2.72394E+001, 2.50167E+001, 2.51321E+001, 2.53787E+001, 1.80014E-002, 2.06575E-001, 1.23740E+002
 5.90009E+001, 2.51587E+001, 2.57712E+001, 3.95657E+001, 2.73612E+001, 2.50161E+001, 2.51046E+001, 2.53785E+001, 1.80014E-002, 2.06527E-001, 1.24439E+002
 6.00024E+001, 2.51642E+001, 2.57352E+001, 3.96864E+001, 2.74177E+001, 2.50154E+001, 2.50801E+001, 2.53747E+001, 1.80015E-002, 2.06479E-001, 1.25066E+002
